key	text	tooltip
#Loc;1;text/db/919_land_units.loc		
land_units_onscreen_name_cha_eng_select_axemen	Æx Folc	true
land_units_onscreen_name_cha_eng_fyrd_axemen	Æx Fyrdmen	true
land_units_onscreen_name_cha_sax_axe_warriors	Akkus Degan	true
land_units_onscreen_name_cha_sax_axe_band	Akkus Folk	true
land_units_onscreen_name_cha_byz_skirm	Akontistés	true
land_units_onscreen_name_cha_vik_armoured_archers	Albryniaðer Bogmenn	true
land_units_onscreen_name_cha_mus_onager	Almanjiniq	true
land_units_onscreen_name_cha_mus_large_onager	Almanjiniq Alkabir	true
land_units_onscreen_name_cha_mus_berber_warriors	Almuharibun Alrumh	true
land_units_onscreen_name_cha_mus_berber_levy	Almusaeidin Alrumh	true
land_units_onscreen_name_cha_mus_archers	Alruma	true
land_units_onscreen_name_cha_mus_andalusian_archer_marines	Alrumat Albahriayn Almukhtaryn	true
land_units_onscreen_name_cha_mus_armoured_archers	Alrumat Almudaraea	true
land_units_onscreen_name_cha_gen_archers	Archers	true
land_units_onscreen_name_cha_lom_archers	Archers	true
land_units_onscreen_name_cha_fra_mounted_archers	Archier Cumpaignes	true
land_units_onscreen_name_cha_fra_archers	Archier Hume	true
land_units_onscreen_name_cha_fra_levy_archers	Archier Servant	true
land_units_onscreen_name_cha_nor_armez_muntedurs	Armez Muntedurs	true
land_units_onscreen_name_cha_gen_armoured_spear	Armoured Spearmen	true
land_units_onscreen_name_cha_gen_armoured_sword	Armoured Swordsmen	true
land_units_onscreen_name_cha_gen_artillery_crew	Artillery Crew	true
land_units_onscreen_name_cha_spa_ambushers	Asaltantes	true
land_units_onscreen_name_cha_merc_spa_ambushers	Asaltantes Mercenarios	true
land_units_onscreen_name_cha_fra_scola_cav	Bacheler	true
land_units_onscreen_name_cha_cel_sword_boatmen	Bádóirí le Claíomh	true
land_units_onscreen_name_cha_gen_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_lom_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_avar_onager_bastion	Bástya Onager	true
land_units_onscreen_name_cha_cel_archer_boatmen	Bátatóiri Bogha	true
land_units_onscreen_name_cha_cel_javelin_boatmen	Bátatóiri Gai	true
land_units_onscreen_name_cha_cel_spear_boatmen	Bátatóiri Slegha	true
land_units_onscreen_name_cha_vik_berserkers	Berserkir	true
land_units_onscreen_name_cha_eng_select_archers	Boga Folc	true
land_units_onscreen_name_cha_cel_pictish_crossbowmen	Boghachan-tarsainn	true
land_units_onscreen_name_cha_cel_pictish_archers	Boghadairean	true
land_units_onscreen_name_cha_vik_hunters	Bogi Orrostumenn	true
land_units_onscreen_name_cha_vik_archers	Bogi Þegnar	true
land_units_onscreen_name_cha_vik_ship_archers	Bogmenn	true
land_units_onscreen_name_cha_sax_levy_archers	Bogo Folk	true
land_units_onscreen_name_cha_sax_archers	Bogo Skara	true
land_units_onscreen_name_cha_vik_big_axes	Breið Øx Menn	true
land_units_onscreen_name_cha_vik_smashers	Breið Øx Menn	true
land_units_onscreen_name_cha_spa_iberian_cav	Caballería Llixera	true
land_units_onscreen_name_cha_merc_spa_iberian_cav	Caballería Mercenaria	true
land_units_onscreen_name_cha_spa_royal_guard_cavalry	Caballería Pesada	true
land_units_onscreen_name_cha_spa_royal_cav	Caballeros	true
land_units_onscreen_name_cha_spa_royal_knights	Caballeros del Rei	true
land_units_onscreen_name_cha_fra_onager	Cadables	true
land_units_onscreen_name_cha_spa_onager	Catapultes	true
land_units_onscreen_name_cha_spa_large_onager	Catapultes Grandes	true
land_units_onscreen_name_cha_spa_tribesmen	Cazadores	true
land_units_onscreen_name_cha_cel_kerns	Ceithern	true
land_units_onscreen_name_cha_fra_guardsmen	Chef	true
land_units_onscreen_name_cha_nor_chef	Chef	true
land_units_onscreen_name_cha_fra_cav	Cheval Cumpaignes	true
land_units_onscreen_name_cha_fra_horsemen	Cheval Hume	true
land_units_onscreen_name_cha_fra_cheval_javeloz	Cheval Javeloz	true
land_units_onscreen_name_cha_nor_chevalers	Chevalchers	true
land_units_onscreen_name_cha_fra_scola_knights	Chevaler	true
land_units_onscreen_name_cha_cel_sword	Claidebatóiri	true
land_units_onscreen_name_cha_cel_sword_band	Claidheamhairean	true
land_units_onscreen_name_cha_cel_gazelhounds	Coin Fhaoil	true
land_units_onscreen_name_cha_eng_royal_thegns	Cyninges Þegnas	true
land_units_onscreen_name_cha_fra_palace_guard	Dartz Baron	true
land_units_onscreen_name_cha_fra_armoured_spear	Dartz Cumpaignes	true
land_units_onscreen_name_cha_fra_mounted_spear	Dartz Franceis	true
land_units_onscreen_name_cha_fra_spear	Dartz Hume	true
land_units_onscreen_name_cha_fra_levy_spear	Dartz Servant	true
land_units_onscreen_name_cha_cel_levy_spear	Doír Slegatóiri	true
land_units_onscreen_name_cha_byz_guard_marines	Droungarios	true
land_units_onscreen_name_cha_sax_hearth_cav	Edili Wigant Gereit	true
land_units_onscreen_name_cha_byz_light_cav	Elafrý Ippikó	true
land_units_onscreen_name_cha_gen_sword	Espaderos	true
land_units_onscreen_name_cha_spa_royal_guardsmen	Espaderos del Rei	true
land_units_onscreen_name_cha_spa_armoured_sword	Espaderos Pesados	true
land_units_onscreen_name_cha_fra_armoured_sword	Espee Cumpaignes	true
land_units_onscreen_name_cha_fra_mounted_swordsmen	Espee Franceis	true
land_units_onscreen_name_cha_fra_sword	Espee Hume	true
land_units_onscreen_name_cha_cel_armoured_spear	Ffynwewyr Gosseirch	true
land_units_onscreen_name_cha_cel_fianna	Fíann	true
land_units_onscreen_name_cha_cel_kings_warband	Fíann Gaisced	true
land_units_onscreen_name_cha_vik_skirm	Fleinn Þegnar	true
land_units_onscreen_name_cha_eng_royal_companions	Folctoga	true
