key	text	tooltip
#Loc;1;text/db/AOJ_land_units.loc		
land_units_onscreen_name_att_ger_germanic_spear_masters	Adalboro Spears	true
land_units_onscreen_name_att_ger_bejewelled_retinue	Adalboro Warlord	true
land_units_onscreen_name_BAL_spears	Aestii Spearmen	true
land_units_onscreen_name_att_des_es_adana_marksmen	Adana Marksmen	true
land_units_onscreen_name_att_ger_agathyrsi_warriors	Agathyrsi Warriors	true
land_units_onscreen_name_cha_mus_berber_warriors	Agher Spearmen - not in use	true
land_units_onscreen_name_MAUR_agher_spears	Agher Spearmen	true
land_units_onscreen_name_GARAM_tuareg_spears	Agher Spearmen	true
land_units_onscreen_name_att_des_desert_chieftain	Aglid	true
land_units_onscreen_name_cha_mus_umayyad_guard_cav	Aglid	true
land_units_onscreen_name_att_cel_celtic_axe_warriors	Aintem Axemen	true
land_units_onscreen_name_att_rom_levis_armaturae	Akontistai	true
land_units_onscreen_name_att_rom_scout_equites	Ala Limitaneorum	true
land_units_onscreen_name_att_ger_jewelled_nobles	Alaman Adalboro Swords	true
land_units_onscreen_name_att_ger_alamannic_scavengers	Alaman Hiltiskalk Spears	true
land_units_onscreen_name_att_ger_chnodomar's_raiders	Alaman Mounted Halskara	true
land_units_onscreen_name_VISI_mediogres_spear	Mediogres Spears	true
land_units_onscreen_name_att_ger_elite_alamannic_scavengers	Alaman Skiltfolk Spears	true
land_units_onscreen_name_att_mar_alan_alani_artillery_crew	Alani Artillery Crew	true
land_units_onscreen_name_att_mar_alan_alani_artillery_dbl_crew	Alani Artillery Crew	true
land_units_onscreen_name_att_ger_alani_horsemen	Alani Horsemen	true
land_units_onscreen_name_att_mar_alan_alani_light_boatmen	Alani Light Boatmen	true
land_units_onscreen_name_att_mar_alan_alan_light_marauders	Alani Light Marauders	true
land_units_onscreen_name_att_mar_alan_alani_light_marauders	Alani Light Marauders	true
land_units_onscreen_name_att_mar_alan_alani_archer_marauders	Alani Marauder Archers	true
land_units_onscreen_name_att_mar_alan_alani_bowman_marauders	Alani Marauder Bowmen	true
land_units_onscreen_name_att_mar_alan_alani_bow_marauders	Alani Marauder Bows	true
land_units_onscreen_name_att_mar_alan_alani_marauders	Alani Marauders	true
land_units_onscreen_name_att_mar_alan_alanic_marauders	Alani Marauders	true
land_units_onscreen_name_att_mar_ger_alani_marauders	Alani Marauders	true
land_units_onscreen_name_ALAN_alanoi_archers	Alanoi Archers	true
land_units_onscreen_name_ALAN_cataphracts	Alanoi Cataphract Lancers	true
land_units_onscreen_name_att_alan_sarmatian_cataphracts	Alanoi Cataphract Lancers	true
land_units_onscreen_name_att_ger_sarmatian_cataphracts	Alanoi Cataphract Lancers	true
land_units_onscreen_name_att_alan_alani_nobles_general	Alanoi Chieftain	true
land_units_onscreen_name_att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5	Alanoi Chosen Cataphracts	true
land_units_onscreen_name_att_alan_anti_cav_light_tier_4	Alanoi Chosen Horsemen	true
land_units_onscreen_name_att_alan_alani_chosen_raiders	Alanoi Chosen raiders	true
land_units_onscreen_name_att_alan_alani_horse_archers	Alanoi Horse Archers	true
land_units_onscreen_name_att_alan_anti_cav_light_tier_3	Alanoi Horsemen	true
land_units_onscreen_name_att_alan_alani_mounted_bows	Alanoi Mounted Bows	true
land_units_onscreen_name_att_alan_cataphract_archers	Alanoi Noble Horse Archers	true
land_units_onscreen_name_att_ger_alani_spearmen	Alanoi Spearmen	true
land_units_onscreen_name_att_alan_sarmatian_shock_tier_1	Alanoi Tribal Lancers	true
land_units_onscreen_name_att_ger_sarmatian_warband	Alanoi Warband	true
land_units_onscreen_name_att_ger_alani_general	Alanui K'an	true
land_units_onscreen_name_att_des_es_al_dawser	al-Dawser	true
land_units_onscreen_name_att_des_es_almaqahs_lancers	Almaqah’s Lancers	true
land_units_onscreen_name_att_des_es_al_rahrain	al-Rahrain	true
land_units_onscreen_name_att_des_es_al_shahba	al-Shahba	true
land_units_onscreen_name_cha_mus_archers	Amazigh Archers	true
land_units_onscreen_name_MAUR_amazigh_archers	Amazigh Archers	true
land_units_onscreen_name_att_des_garamantian_lancers	Amazigh Lancers	true
land_units_onscreen_name_att_des_amazigh_raiders	Amazigh Raiders	true
land_units_onscreen_name_cha_mus_berber_light_cav	Amazigh Raiders - not in use	true
land_units_onscreen_name_MAUR_amazigh_raiders	Amazigh Raiders	true
land_units_onscreen_name_att_des_amazigh_spearmen	Amazigh Spearmen	true
land_units_onscreen_name_MAUR_spear_throwers	Amazigh Spear-Throwers	true
land_units_onscreen_name_cha_mus_andalusian_skirm	Amazigh Spear-Throwers	true
land_units_onscreen_name_MAUR_amazigh_tribal_horsemen	Amazigh Tribal Horsemen	true
land_units_onscreen_name_cha_mus_berber_raiders	Amazigh Tribal Horsemen	true
land_units_onscreen_name_GARAM_tribal_horsemen	Amazigh Tribal Horsemen	true
land_units_onscreen_name_cha_mus_berber_levy	Amazigh Tribal Spears	true
land_units_onscreen_name_GARAM_tribal_spears	Amazigh Tribal Spears	true
land_units_onscreen_name_cha_mus_andalusian_infantry	Amazigh Tribesmen	true
land_units_onscreen_name_MAUR_amazigh_tribesmen	Amazigh Tribesmen	true
land_units_onscreen_name_cha_slav_ambushers	Ambushers	true
land_units_onscreen_name_BAL_ambushers	Balti Ambushers	true
land_units_onscreen_name_cha_spa_ambushers	Ambushers	true
land_units_onscreen_name_cha_mus_umayyad_guardsmen	Amxzni	true
land_units_onscreen_name_MAUR_amxzni	Amxzni	true
land_units_onscreen_name_GARAM_amxzni_spears	Amxzni	true
land_units_onscreen_name_GARAM_amxzni_horsemen	Amxzni Horsemen	true
land_units_onscreen_name_att_des_amazigh_lancers	Amxzni Lancers	true
land_units_onscreen_name_cha_mus_armoured_archers	Amxzni Sagittarii	true
land_units_onscreen_name_MAUR_amxzni_sagittarii	Amxzni Sagittarii	true
land_units_onscreen_name_cha_mus_andalusian_archer_boatmen	Andalusian Archer Boatmen	true
land_units_onscreen_name_cha_mus_andalusian_archer_marines	Andalusian Archer Marines	true
land_units_onscreen_name_cha_mus_artillery_crew	Andalusian Artillery Crew	true
land_units_onscreen_name_cha_mus_andalusian_guard_marines	Andalusian Guard Marines	true
land_units_onscreen_name_cha_mus_andalusian_marines	Andalusian Marines	true
land_units_onscreen_name_att_slav_levy_skirmishers_ERE	Antai Akontistai	true
land_units_onscreen_name_bel_rom_antesignani	Antesignani Not used	true
land_units_onscreen_name_att_ger_royal_anstrutiones	Antrustiones	true
land_units_onscreen_name_att_des_arabic_horsemen	Arabic Horsemen	true
land_units_onscreen_name_cha_byz_archer_boatmen	Archer Boatmen	true
land_units_onscreen_name_cha_cel_archer_boatmen	Archer Boatmen	true
land_units_onscreen_name_bas_archers	Archer Gudalari	true
land_units_onscreen_name_att_ger_germanic_bows	Archer Hansa	true
land_units_onscreen_name_cha_byz_archers	Archers	true
land_units_onscreen_name_cha_fra_archers	Archers	true
land_units_onscreen_name_cha_lom_archers	Archers	true
land_units_onscreen_name_cha_sax_archers	Archers	true
land_units_onscreen_name_cha_fra_levy_archers	Arcuarii	true
land_units_onscreen_name_FRA_arcuarii	Arcuarii	true
land_units_onscreen_name_att_ger_germanic_archers_bur	Arcuarii Electi	true
land_units_onscreen_name_att_ger_gothic_archers	Arcuarii Gardingi	true
land_units_onscreen_name_att_ger_elite_germanic_archers	Arcuarii Regis	true
land_units_onscreen_name_att_rom_ballistarii	Arcuballistarii	true
land_units_onscreen_name_att_cel_celtic_brigands	Ardu	true
land_units_onscreen_name_LOM_arimanni_spears	Arimanni Spears	true
land_units_onscreen_name_att_cel_celtic_band	Ardu Swordsmen	true
land_units_onscreen_name_ERE_limitanei_levy_swords	Arithmos	true
land_units_onscreen_name_nor_town_guard_melee	Armed Folk	true
land_units_onscreen_name_att_est_armenian_slingers	Armenian Slingers	true
land_units_onscreen_name_att_est_persian_skirmishers_ERE	Armenioi Akontistai	true
land_units_onscreen_name_att_rom_armigeri_defensores	Armigeri Defensores	true
land_units_onscreen_name_cha_byz_armoured_archers	Armoured Archers	true
land_units_onscreen_name_cha_vik_armoured_archers	Armoured Archers	true
land_units_onscreen_name_att_des_armoured_camel_warriors	Armoured Camel Warriors	true
land_units_onscreen_name_att_des_es_armoured_himyarite_shotelai	Armoured Himyarite Shotelai	true
land_units_onscreen_name_cha_mus_armoured_marines	Armoured Marines	true
land_units_onscreen_name_att_est_armoured_indian_elephants	Armoured Pil-Asbaran	true
land_units_onscreen_name_cha_fra_armoured_spear	Armoured Spearmen	true
land_units_onscreen_name_att_nom_steppe_cataphracts	Armoured Steppe Lancers	true
land_units_onscreen_name_cha_fra_armoured_sword	Armoured Swordsmen	true
land_units_onscreen_name_cha_gen_artillery_crew	Artillery Crew	true
land_units_onscreen_name_att_cel_round_shield_raiders	Arwrweision	true
land_units_onscreen_name_att_est_savaran_cataphracts	Asbaran	true
land_units_onscreen_name_att_est_zhayedan_immortal_cavalry	Asbaran-e Khorasan	true
land_units_onscreen_name_att_nom_shamans_of_the_eternal_sky	Ashina Wolf Shamans	true
land_units_onscreen_name_att_des_es_ashum	Ashum	true
land_units_onscreen_name_att_cel_celtic_spears	Aulue	true
land_units_onscreen_name_cha_cel_levy_spear	Aulue	true
land_units_onscreen_name_att_cel_pictish_berserkers	Aumue Boai	true
land_units_onscreen_name_att_merc_rom_comitatensis_spears	Auxilia Comitatensis Spears	true
land_units_onscreen_name_att_merc_rom_contarii	Auxilia Contarii	true
land_units_onscreen_name_att_merc_rom_equites_dalmatae	Auxilia Equites Dalmatae	true
land_units_onscreen_name_att_merc_rom_funditores	Auxilia Funditores	true
land_units_onscreen_name_att_merc_rom_legio	Auxilia Legio	true
land_units_onscreen_name_att_merc_rom_onager	Auxilia Onager	true
land_units_onscreen_name_att_merc_rom_palatina	Auxilia Palatina	true
land_units_onscreen_name_att_merc_rom_sagittarii	Auxilia Sagittarii	true
land_units_onscreen_name_bel_rom_exploratores	Auxiliares Legio Limitanei	true
land_units_onscreen_name_bel_rom_praeventores	Auxiliares Pseudocomitatenses	true
land_units_onscreen_name_cha_avar_boatmen	Avar Boatmen	true
land_units_onscreen_name_cha_avar_foot_archers	Avar Foot Archers	true
land_units_onscreen_name_cha_avar_guard	Avar Guard	true
land_units_onscreen_name_cha_avar_guard_boatmen	Avar Guard Boatmen	true
land_units_onscreen_name_cha_avar_heavy_boatmen	Avar Heavy Boatmen	true
land_units_onscreen_name_att_nom_avar_horde	Avar Horde	true
land_units_onscreen_name_cha_avar_horse_archers	Avar Horse Archers	true
land_units_onscreen_name_ERE_avar_horse_archers	Avaroi Hippo Toxotai	true
land_units_onscreen_name_cha_avar_horse_masters	Avar Horse Masters	true
land_units_onscreen_name_cha_avar_lancers	Avar Lancers	true
land_units_onscreen_name_cha_avar_light_boatmen	Avar Light Boatmen	true
land_units_onscreen_name_cha_avar_noble_archers	Avar Noble Archers	true
land_units_onscreen_name_cha_avar_noble_lancers	Avar Noble Lancers	true
land_units_onscreen_name_cha_avar_noble_sword	Avar Noble Swordsmen	true
land_units_onscreen_name_ERE_att_nom_hunnic_lancers	Avaroi	true
land_units_onscreen_name_att_cel_celtic_axe_band	Axe Buiden	true
land_units_onscreen_name_cha_vik_axe_freemen	Axe Freemen	true
land_units_onscreen_name_att_ger_germanic_band	Axe Hansa	true
land_units_onscreen_name_att_ger_axe_heerbann	Axe Heriban	true
land_units_onscreen_name_cha_vik_axe_hirdmen	Axe Hirdmen	true
land_units_onscreen_name_att_nor_viking_raiders	Axe Hlid	true
land_units_onscreen_name_cha_slav_warriors	Axe Woodsmen	true
land_units_onscreen_name_cha_vik_axemen	Axemen	true
land_units_onscreen_name_bel_ost_ballistarii	Ballistarii	true
land_units_onscreen_name_bel_rom_ballistarii	Ballistarii	true
land_units_onscreen_name_att_rom_elite_ballistarii	Ballistarii Seniores	true
land_units_onscreen_name_att_des_es_baltha_defenders	Baltha Defenders	true
land_units_onscreen_name_att_des_es_baltha_warriors	Baltha Warriors	true
land_units_onscreen_name_att_des_es_mavias_chargers	Banu ‘Amilah	true
land_units_onscreen_name_att_des_es_badyia_skirmishers	Banu ‘Amilah Skirmishers	true
land_units_onscreen_name_att_des_es_rebellion_militia	Banu al-Qayn Swordsmen	true
land_units_onscreen_name_att_des_es_mavias_chosen	Banu Ghassan	true
land_units_onscreen_name_att_des_es_dune_lancers	Banu Judham	true
land_units_onscreen_name_GHAS_judham	Banu Judham	true
land_units_onscreen_name_att_des_es_tanukhid_pikes	Banu Judham Spears	true
land_units_onscreen_name_GHAS_banu_judham_spears	Banu Judham Spears	true
land_units_onscreen_name_att_ger_barbed_lancers	Barbed Lancers	true
land_units_onscreen_name_att_cel_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_des_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_est_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_ger_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_nom_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_nor_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_rom_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_slav_onager_bastion	Bastion Onager	true
land_units_onscreen_name_bel_ost_onager_bastion	Bastion Onager	true
land_units_onscreen_name_bel_rom_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_avar_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_byz_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_cel_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_eng_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_fra_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_gen_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_lom_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_mus_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_sax_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_slav_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_vik_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_nom_steppe_warriors	Befulci Axemen	true
