key	text	tooltip
#Loc;1;text/db/BRIT_land_units.loc		
land_units_onscreen_name_att_rom_protectores_domestici	Tyrannus	true
land_units_onscreen_name_att_rom_cornuti_seniores	Pedytes	true
land_units_onscreen_name_att_rom_herculiani_seniores	Cives	true
land_units_onscreen_name_BRIT_aulue	Aulue	true
land_units_onscreen_name_BRIT_angli_axes	Foederati Angli Axemen	true
land_units_onscreen_name_BRIT_equites	Equites	true
land_units_onscreen_name_BRIT_angli_spears	Foederati Angli Spears	true
land_units_onscreen_name_BRIT_saethwyr	Saethwyr	true
land_units_onscreen_name_BRIT_longbows	Saethwrabhyr	true
land_units_onscreen_name_BRIT_sag_brit	Sagittarii Britanni	true
land_units_onscreen_name_BRIT_helwyr	Helwyr	true
land_units_onscreen_name_BRIT_dux_bello	Dux Bellorum	true
land_units_onscreen_name_BRIT_teulu	Teulu	true
land_units_onscreen_name_BRIT_ardu	Ardu	true
land_units_onscreen_name_BRIT_scoti_javelins	Foederati Scoti	true
land_units_onscreen_name_BRIT_marchogluoedd	Marchogluoedd	true
land_units_onscreen_name_BRIT_rhyfelwyr_javelins	Rhyfelwyr Spear-Throwers	true
land_units_onscreen_name_BRIT_rhyfelwyr_swords	Rhyfelwyr Swordsmen	true
land_units_onscreen_name_BRIT_rherel	Rherel	true
land_units_onscreen_name_BRIT_milwyr	Milwyr	true
land_units_onscreen_name_BRIT_marca	Marca	true
land_units_onscreen_name_BRIT_arwrweision	Arwrweision	true
land_units_onscreen_name_BRIT_catafractarii	Catafractarii	true
land_units_onscreen_name_BRIT_britones_seniores	Legio Britones	true
land_units_onscreen_name_BRIT_exculcatores	Exculcatores	true
land_units_onscreen_name_BRIT_secunda_sword	Secunda Britannica	true
land_units_onscreen_name_BRIT_miles_equites	Equites Scutari	true
