key	text	tooltip
#Loc;1;text/db/land_units.loc		
land_units_onscreen_name_att_rom_civilian_townsfolk	Civilians	true
land_units_onscreen_name_cha_vik_axe_freemen	Axe Freemen	true
land_units_onscreen_name_att_merc_nor_nordic_brigade	Mercenary Nordic Brigade	true
land_units_onscreen_name_att_mar_est_sassanid_bowman_marines	Sassanid Bowman Marines	true
land_units_onscreen_name_att_nom_steppe_mounted_tribespeople	Steppe Mounted Tribespeople	true
land_units_onscreen_name_cha_mus_armoured_cav	Armoured Cavalry	true
land_units_onscreen_name_cha_cel_levy_archers	Levy Archers	true
land_units_onscreen_name_att_mar_rom_roman_artillery_dbl_crew	Roman Artillery Crew	true
land_units_onscreen_name_bel_ost_milites_comitatenses	Milites Comitatenses	true
land_units_onscreen_name_att_merc_nom_steppe_raiders	Mercenary Steppe Raiders	true
land_units_onscreen_name_att_merc_nom_steppe_lancers	Mercenary Steppe Lancers	true
land_units_onscreen_name_att_mar_cel_celtic_light_marauders	Celtic Light Marauders	true
land_units_onscreen_name_att_mar_nor_nordic_light_marauders	Nordic Light Marauders	true
land_units_onscreen_name_att_nom_chosen_uar_warriors	Chosen Uar Warriors	true
land_units_onscreen_name_att_mar_nor_nordic_transport_crew	Nordic Transport Crew	true
land_units_onscreen_name_att_ger_visigothic_slingers	Visigothic Slingers	true
land_units_onscreen_name_cha_lom_levy	Lombard Levy	true
land_units_onscreen_name_cha_lom_levy_archers	Levy Archers	true
land_units_onscreen_name_cha_merc_vik_archers	Mercenary Viking Archers	true
land_units_onscreen_name_att_merc_mar_nor_saxon_bow_marauders	Mercenary Saxon Bow Marauders	true
land_units_onscreen_name_att_nom_steppe_mounted_bows	Steppe Mounted Bows	true
land_units_onscreen_name_att_mar_alan_chosen_alanic_boatmen	Chosen Alani Boatmen	true
land_units_onscreen_name_att_ger_noble_gothic_lancers	Noble Gothic Lancers	true
land_units_onscreen_name_bel_rom_large_onager	Large Onager	true
land_units_onscreen_name_cha_gen_levy_archers	Levy Archers	true
