key	text	tooltip
#Loc;1;text/db/rom_oroc_land_units.loc		
land_units_onscreen_name_oroc_spears	Orocarni Spears	false
land_units_onscreen_name_oroc_halberds	Orocarni Halberds	false
land_units_onscreen_name_oroc_axes	Orocarni Axes	false
land_units_onscreen_name_oroc_bows	Orocarni Bows	false
land_units_onscreen_name_oroc_skirmishers	Orocarni Skirmishers	false
land_units_onscreen_name_oroc_ironfist_spears	Ironfist Spears	false
land_units_onscreen_name_oroc_stiffbeard_skirmishers	Stiffbeard Skirmishers	false
land_units_onscreen_name_oroc_stiffbeard_archers	Stiffbeard Archers	false
land_units_onscreen_name_oroc_blacklock_infantry	Blacklock Infantry	false
land_units_onscreen_name_oroc_stonefoot_halberds	Stonefoot Halberds	false
land_units_onscreen_name_oroc_stonefoot_pikes	Stonefoot Pikes	false
land_units_onscreen_name_oroc_ironfist_heavy_spears	Ironfist Heavy Spears	false
land_units_onscreen_name_oroc_ironfist_warriors	Ironfist Warriors	false
land_units_onscreen_name_oroc_stiffbeard_heavy_archers	Stiffbeard Heavy Archers	false
land_units_onscreen_name_oroc_blacklock_heavy_infantry	Blacklock Heavy Infantry	false
land_units_onscreen_name_oroc_blacklock_warriors	Blacklock Warriors	false
land_units_onscreen_name_oroc_stonefoot_heavy_pikes	Stonefoot Heavy Pikes	false
land_units_onscreen_name_oroc_ironfist_guards	Ironfist Guards	false
land_units_onscreen_name_oroc_stiffbeard_nobles	Stiffbeard Nobles	false
land_units_onscreen_name_oroc_blacklock_nobles	Blacklock Nobles	false
land_units_onscreen_name_oroc_stonefoot_guards	Stonefoot Guards	false
