key	text	tooltip
#Loc;1;text/db/rom_units_av.loc		
land_units_onscreen_name_av_stoor_shirrifs	Stoor Shirrifs	false
land_units_onscreen_name_av_valesman_archer_levy	Valesman Archer Levy	false
land_units_onscreen_name_av_valesman_levy	Valesman Levy	false
land_units_onscreen_name_av_woodland_axemen	Woodland Axemen	false
land_units_onscreen_name_av_eotheod_outriders	Éothéod Outriders	false
land_units_onscreen_name_av_vale_spearmen	Vale Spearmen	false
land_units_onscreen_name_av_vale_axemen	Vale Axemen	false
land_units_onscreen_name_av_vale_yeomen	Vale Yeomen	false
land_units_onscreen_name_av_greenwood_foresters	Greenwood Foresters	false
land_units_onscreen_name_av_etheod_cavalry	Éothéod Cavalry	false
land_units_onscreen_name_av_anduin_sentinels	Anduin Sentinels	false
land_units_onscreen_name_av_anduin_longbowmen	Anduin Longbowmen	false
land_units_onscreen_name_av_greenwood_rangers	Greenwood Rangers	false
land_units_onscreen_name_av_carrock_wardens	Carrock Wardens	false
land_units_onscreen_name_av_pass_sentries	Pass Sentries	false
land_units_onscreen_name_av_etheod_footman	Éothéod Footman	false
land_units_onscreen_name_av_etheod_lancers	Éothéod Lancers	false
land_units_onscreen_name_av_etheod_horse_archers	Éothéod Horse Archers	false
land_units_onscreen_name_av_beorning_warriors	Beorning Warriors	false
land_units_onscreen_name_av_etheod_nobles	Éothéod Nobles	false
