key	text	tooltip
#Loc;1;text/db/rom_units_bal.loc		
land_units_onscreen_name_bal_loke-rim_maceman	Lókë-Rim Macemen	false
land_units_onscreen_name_bal_loke-rim_archers	Lókë-Rim Archers	false
land_units_onscreen_name_bal_variag_bowmen	Variag Bowmen	false
land_units_onscreen_name_bal_variag_warriors	Variag Warriors	false
land_units_onscreen_name_bal_loke-rim_halberdiers	Lókë-Rim Halberdiers	false
land_units_onscreen_name_bal_bane_of_the_steppes	Bane of the Steppes	false
land_units_onscreen_name_bal_variag_lancers	Variag Lancers	false
land_units_onscreen_name_bal_clan_guards	Clan Guards	false
land_units_onscreen_name_bal_rhunic_warlords	Warlords of Rhûn	false
land_units_onscreen_name_bal_khandish_sentries	Khandish Sentries	false
land_units_onscreen_name_bal_khandish_horse_archers	Khandish Horse Archers	false
land_units_onscreen_name_bal_wainrider_chiefs	Wainrider Chiefs	false
land_units_onscreen_name_bal_clan_axemen	Clan Axemen	false
land_units_onscreen_name_bal_clan_huntsmen	Clan Huntsmen	false
land_units_onscreen_name_bal_clan_raiders	Clan Raiders	false
land_units_onscreen_name_bal_clan_spearmen	Clan Spearmen	false
land_units_onscreen_name_bal_rhunic_savages	Rhûnic Savages	false
land_units_onscreen_name_bal_rhunic_archers	Rhûnic Archers	false
land_units_onscreen_name_bal_rhunic_warriors	Rhûnic Warriors	false
land_units_onscreen_name_bal_loke-rim_cataphracts	Lókë-Rim Stormriders	false
land_units_onscreen_name_bal_khahar	Khahár (Lókë-Rim Stormriders)	false
