key	text	tooltip
#Loc;1;text/db/rom_units_dale.loc		
land_units_onscreen_name_dale_bardings	Bardings	false
land_units_onscreen_name_dale_cavalry_regiment	Dale Cavalry Regiment	false
land_units_onscreen_name_dale_spearguards	Dalian Spearguards	false
land_units_onscreen_name_dale_swordsmen	Dalian Swordsmen	false
land_units_onscreen_name_dale_laketown_guards	Laketown Guards	false
land_units_onscreen_name_dale_marksmen	Marksmen of Dale	false
land_units_onscreen_name_dale_merchant_escorts	Merchant Escorts	false
land_units_onscreen_name_dale_northmen_scouts	Northmen Scouts	false
land_units_onscreen_name_dale_rhovanion_rangers	Rangers of Rhovanion	false
land_units_onscreen_name_dale_rhovanion_regent	Rhovanion Regents	false
land_units_onscreen_name_dale_rivermen	Rivermen	false
land_units_onscreen_name_dale_shipmen	Shipmen	false
land_units_onscreen_name_dale_spear_militia	Spear Militia	false
land_units_onscreen_name_dale_vineland_guard_sword	Vineland Guards	false
land_units_onscreen_name_dale_vineland_guard_spear	Vineland Guards (Spears)	false
land_units_onscreen_name_dale_vineland_watchmen	Vineland Watchmen	false
land_units_onscreen_name_dale_vineland_yardpatrollers	Vineland Yardpatrollers	false
land_units_onscreen_name_dale_watchpost_sentries	Watch-post Sentries	false
land_units_onscreen_name_dale_yeomen	Yeomen	false
land_units_onscreen_name_dale_avari_wanderers	Avari Wanderers	false
land_units_onscreen_name_dale_brand	King Brand (Bardings)	false
