key	text	tooltip
#Loc;1;text/db/rom_units_dun.loc		
land_units_onscreen_name_dun_blood_avengers	Blood Avengers	false
land_units_onscreen_name_dun_champions	Champion Reavers	false
land_units_onscreen_name_dun_swordmen	Dunhird Swordsmen	false
land_units_onscreen_name_dun_rangers	Dunhird Archers	false
land_units_onscreen_name_dun_dunhird_chosen	Dunhird Chosens	false
land_units_onscreen_name_dun_bloodsworn	Warlord's Bloodsworn	false
land_units_onscreen_name_dun_pillagers	Dunhird Marauders	false
land_units_onscreen_name_dun_hound_tamers	Warlord's Wolf Tamers	false
land_units_onscreen_name_dun_elder_bows	Elder Archers	false
land_units_onscreen_name_dun_elder_spears	Elder Spearmen	false
land_units_onscreen_name_dun_tribal_levies	Tribal Levies	false
land_units_onscreen_name_dun_tribal_warriors	Tribal Warriors	false
land_units_onscreen_name_dun_tribal_hunters	Tribal Hunters	false
land_units_onscreen_name_dun_tribal_youth	Tribal Youths	false
land_units_onscreen_name_dun_horsed_raiders	Tribal Raiders	false
