key	text	tooltip
#Loc;1;text/db/rom_units_gob.loc		
land_units_onscreen_name_gob_snaga_javelin	Snaga Javelins	false
land_units_onscreen_name_gob_goblin_light_inf	Goblin Light Infantry	false
land_units_onscreen_name_gob_goblin_scrappers	Goblin Scrappers	false
land_units_onscreen_name_gob_night_raiders	Night Raiders	false
land_units_onscreen_name_gob_underground_wardens	Underground Wardens	false
land_units_onscreen_name_gob_mountain_pass_scout	Mountain Pass Scouts	false
land_units_onscreen_name_gob_warg_riders	Warg Riders	false
land_units_onscreen_name_gob_goblin_blade_warriors	Goblin Blade Warriors	false
land_units_onscreen_name_gob_goblin_spear_warriors	Goblin Spear Warriors	false
land_units_onscreen_name_gob_goblin_heavy_archers	Goblin Heavy Archers	false
land_units_onscreen_name_gob_mordor_uruks	Mordor Uruks	false
land_units_onscreen_name_gob_mountain_trolls	Mountain Trolls	false
land_units_onscreen_name_gob_goblin_bodyguards	Goblin Bodyguards	false
land_units_onscreen_name_gob_chieftan_guard	High Chieftain's Guard	false
land_units_onscreen_name_gob_cave_trolls	Cave Trolls	false
land_units_onscreen_name_gob_goblin_king	Goblin King	false
land_units_onscreen_name_gob_goblin_warband	Goblin Warband	false
land_units_onscreen_name_gob_mountain_marauders	Mountain Marauders	false
land_units_onscreen_name_gob_scavenged_crossbows	Scavenged Crossbows	false
land_units_onscreen_name_gob_warg_scouts	Warg Scouts	false
land_units_onscreen_name_gob_warg_pack	Warg Pack	false
