key	text	tooltip
#Loc;1;text/db/rom_units_gun.loc		
land_units_onscreen_name_gun_tunnel_slaves	Tunnel Slaves	false
land_units_onscreen_name_gun_orc_warband	Orc Warband	false
land_units_onscreen_name_gun_orc_marauders	Orc Marauders	false
land_units_onscreen_name_gun_goblin_mercenaries	Goblin Mercenaries	false
land_units_onscreen_name_gun_stalkers	Mountain Orc Stalkers	false
land_units_onscreen_name_gun_reavers	Mountain Orc Reavers	false
land_units_onscreen_name_gun_night_hunters	Night Hunters	false
land_units_onscreen_name_gun_warg_scouts	Warg Scouts	false
land_units_onscreen_name_gun_wargs	Gundabad Wargs	false
land_units_onscreen_name_gun_rhudaur_infantry	Rhudaur Infantry	false
land_units_onscreen_name_gun_heavy_halberds	Gundabad Heavy Halberds	false
land_units_onscreen_name_gun_heavy_blades	Gundabad Heavy Blades	false
land_units_onscreen_name_gun_traversers	Mountain Orc Traversers	false
land_units_onscreen_name_gun_armoured_blade_wargs	Armoured Blade Wargs	false
land_units_onscreen_name_gun_tomb_raiders	Tomb Raiders	false
land_units_onscreen_name_gun_armoured_spear_wargs	Armoured Spear Wargs	false
land_units_onscreen_name_gun_warlords	Gundabad Warlords	false
land_units_onscreen_name_gun_citadel_guards	Red Citadel Guards	false
land_units_onscreen_name_gun_berserkers	Gundabad Berserkers	false
land_units_onscreen_name_gun_warg_pack	Warg Pack	false
