key	text	tooltip
#Loc;1;text/db/rom_units_har.loc		
land_units_onscreen_name_har_haradrim_swordsmen	Vassal Haradrim Swordsmen	false
land_units_onscreen_name_har_southron_cavalry	Vassal Southron Cavalry	false
land_units_onscreen_name_har_desert_spears	Desert Spears	false
land_units_onscreen_name_har_desert_bowmen	Desert Bowmen	false
land_units_onscreen_name_har_desert_raiders	Desert Raiders	false
land_units_onscreen_name_har_harad_swords	Haradrim Swordsmen	false
land_units_onscreen_name_har_harad_glaives	Haradrim Glaives	false
land_units_onscreen_name_har_harad_archers	Haradrim Archers	false
land_units_onscreen_name_har_harad_horse_archers	Haradrim Horse Archers	false
land_units_onscreen_name_har_harad_camel_riders	Camel Riders	false
land_units_onscreen_name_har_harad_lancers	Haradrim Lancers	false
land_units_onscreen_name_har_mahud_hunters	Mahûd Hunters	false
land_units_onscreen_name_har_mahud_clubmen	Mahûd Clubmen	false
land_units_onscreen_name_har_corsair_raiders	Corsair Raiders	false
land_units_onscreen_name_har_corsair_marines	Corsair Marines	false
land_units_onscreen_name_har_corsair_archers	Corsair Archers	false
land_units_onscreen_name_har_serpent_archers	Serpent Archers	false
land_units_onscreen_name_har_serpent_warriors	Serpent Warriors	false
land_units_onscreen_name_har_serpent_spearmen	Serpent Spearmen	false
land_units_onscreen_name_har_mahud_beasttamers	Mahûd Beast Tamers	false
land_units_onscreen_name_har_farharad_mutants	Mutants of Far Harad	false
land_units_onscreen_name_har_farharad_ranged_mutants	Far Harad Ranged Mutants	false
land_units_onscreen_name_har_umbar_ursurpers	Umbar Usurpers	false
land_units_onscreen_name_har_umbar_guards	Umbar Guards	false
land_units_onscreen_name_har_serpent_guards	Serpent Guards	false
land_units_onscreen_name_har_adunakhori	Adûnakhôrî	false
land_units_onscreen_name_har_black_serpent	Black Serpent Rangers	false
land_units_onscreen_name_har_mumakil	Baby Mûmakil	false
land_units_onscreen_name_har_ar_belzagar	Ar-Bêlzagar (Adûnakhôrî)	false
land_units_onscreen_name_har_mahud_spearmen	Mahûd Spearmen	false
