key	text	tooltip
#Loc;1;text/db/rom_units_ise.loc		
land_units_onscreen_name_ise_berserker	Berserker	false
land_units_onscreen_name_ise_halforc_axes	Half-Orc Axes	false
land_units_onscreen_name_ise_ballista	Isengard Ballista	false
land_units_onscreen_name_ise_snaga	Snaga	false
land_units_onscreen_name_ise_uruk_hai_archers	Uruk-Hai Archers	false
land_units_onscreen_name_ise_uruk_hai_crossbowmen	Uruk-Hai Crossbows	false
land_units_onscreen_name_ise_uruk_hai_infantry	Uruk-Hai Infantry	false
land_units_onscreen_name_ise_uruk_hai_pikemen	Uruk-Hai Pikes	false
land_units_onscreen_name_ise_uruk_hai_raiders	Uruk-Hai Raiders	false
land_units_onscreen_name_ise_wolves	Wargs of Isengard	false
land_units_onscreen_name_ise_sapper	Sappers	false
land_units_onscreen_name_ise_white_hand_stormer	White Hand Stormers	false
land_units_onscreen_name_ise_dunland_tribesmen	Dunland Tribesmen	false
land_units_onscreen_name_ise_dunland_horse_raider	Dunlending Horsed Raiders	false
land_units_onscreen_name_ise_mordor_rabble	Mordor Rabble	false
land_units_onscreen_name_ise_mordor_orc_bowmen	Mordor Bow Rabble	false
land_units_onscreen_name_ise_halforc_spears	Half-Orc Spears	false
land_units_onscreen_name_ise_bomb_throwers	White Hand Grenadiers	false
land_units_onscreen_name_ise_lurtz	Lurtz (Uruk-Hai Rangers)	false
land_units_onscreen_name_ise_goblin_throng	Goblin Throng	false
land_units_onscreen_name_ise_goblinmen_bows	Goblin-men Bows	false
land_units_onscreen_name_ise_goblinmen_ruffians	Goblin-men Ruffians	false
land_units_onscreen_name_ise_wargs	Wargs of Isengard	false
