key	text	tooltip
#Loc;1;text/db/rom_units_loth.loc		
land_units_onscreen_name_loth_celeborn	Celeborn (Twilight Guard)	false
land_units_onscreen_name_loth_haldir	Haldir (Wardens of the Fences)	false
land_units_onscreen_name_loth_lor_sentries	Lórien Sentries	false
land_units_onscreen_name_loth_lor_sword_company	Lórien Sword Company	false
land_units_onscreen_name_loth_lor_spear_company	Lórien Spear Company	false
land_units_onscreen_name_loth_lor_outriders	Lórien Outriders	false
land_units_onscreen_name_loth_naith_infantry	Naith Infantry	false
land_units_onscreen_name_loth_amroth_sentinels	Amroth Sentinels	false
land_units_onscreen_name_loth_galadhon_archers	Galadhon Archers	false
land_units_onscreen_name_loth_nimrodel_patrollers	Nimrodel Patrollers	false
land_units_onscreen_name_loth_galad_bow_warriors	Galadhrim Bow Warriors	false
land_units_onscreen_name_loth_galad_sword_warriors	Galadhrim Sword Warriors	false
land_units_onscreen_name_loth_galad_spear_warriors	Galadhrim Spear Warriors	false
land_units_onscreen_name_loth_wardens_fences	Wardens of the Fences	false
land_units_onscreen_name_loth_twilight_guard	Twilight Guard	false
land_units_onscreen_name_loth_mallorn_defenders	Mallorn Defenders	false
land_units_onscreen_name_loth_heroes_amon_lanc	Heroes of Amon Lanc	false
land_units_onscreen_name_loth_haldirs_bodyguards	Haldir (Wardens of the Fences)	false
