key	text	tooltip
#Loc;1;text/db/rom_units_mor.loc		
land_units_onscreen_name_mor_mountain_trolls	Mountain Trolls	false
land_units_onscreen_name_mor_olog_hai	Olog-hai	false
land_units_onscreen_name_mor_orc_rabble	Orc Rabble	false
land_units_onscreen_name_mor_orc_pillagers	Orc Pillagers	false
land_units_onscreen_name_mor_orc_pikes	Orc Pikes	false
land_units_onscreen_name_mor_orc_spears	Orc Spears	false
land_units_onscreen_name_mor_orc_warriors	Orc Warriors	false
land_units_onscreen_name_mor_orc_rabble_bowmen	Orc Bow Rabble	false
land_units_onscreen_name_mor_uruk_spears	Uruk Spears	false
land_units_onscreen_name_mor_uruk_throng	Uruk Throng	false
land_units_onscreen_name_mor_uruk_archers	Uruk Archers	false
land_units_onscreen_name_mor_morgul_legion	Morgul Legion	false
land_units_onscreen_name_mor_servants_of_the_eyes	Servants of the Eye	false
land_units_onscreen_name_mor_guards_of_the_teeth	Guards of the Teeth	false
land_units_onscreen_name_mor_nazgul	Nazgûl (Servants of the Eye)	false
land_units_onscreen_name_mor_the_nine	The Black Riders	false
land_units_onscreen_name_mor_witchking	The Witch-king (Servants of the Eye)	false
land_units_onscreen_name_mor_warg_riders	Warg Riders	false
land_units_onscreen_name_mor_morgul_orcs	Morgul Orcs	false
land_units_onscreen_name_mor_morgul_wargs	Morgul Wolves	false
land_units_onscreen_name_mor_morgul_raiders	Morgul Raiders	false
land_units_onscreen_name_mor_uruk_bodyguards	Uruk Bodyguards	false
land_units_onscreen_name_mor_orc_warband	Orc Warband	false
land_units_onscreen_name_mor_othrod	Othrod (Uruk Bodyguards)	false
land_units_onscreen_name_mor_mirkwood_reavers	Mirkwood Reavers	false
land_units_onscreen_name_mor_mirkwood_trackers	Mirkwood Trackers	false
land_units_onscreen_name_mor_mirkwood_raiders	Mirkwood Raiders	false
land_units_onscreen_name_mor_guldur_archers	Guldur Archers	false
land_units_onscreen_name_mor_guldur_head_hunters	Guldur Head-Hunters	false
