key	text	tooltip
#Loc;1;text/db/rom_units_roh.loc		
land_units_onscreen_name_roh_mustered_spears	Mustered Spears	false
land_units_onscreen_name_roh_mustered_axes	Mustered Axes	false
land_units_onscreen_name_roh_mustered_archers	Mustered Archers	false
land_units_onscreen_name_roh_rohan_skirmishers	Rohan Skirmishers	false
land_units_onscreen_name_roh_horse_archers	Rohan Horse Archers	false
land_units_onscreen_name_roh_scouts_of_rohan	Scouts of Rohan	false
land_units_onscreen_name_roh_esquires_of_rohan	Esquires of Rohan	false
land_units_onscreen_name_roh_axe_theigns	Axe Theigns	false
land_units_onscreen_name_roh_sword_theigns	Sword Theigns	false
land_units_onscreen_name_roh_yeomen_of_the_mark	Yeomen of the Mark	false
land_units_onscreen_name_roh_riders_of_rohan	Riders of Rohan	false
land_units_onscreen_name_roh_eored_eastfold	Éored of the Eastfold	false
land_units_onscreen_name_roh_eored_westfold	Éored of the Westfold	false
land_units_onscreen_name_roh_eored_gap	Éored of the Gap	false
land_units_onscreen_name_roh_eorling_retainers	Eorling Retainers	false
land_units_onscreen_name_roh_eorling_men_at_arms	Eorling Men-at-Arms	false
land_units_onscreen_name_roh_eorling_knights	Eorling Knights	false
land_units_onscreen_name_roh_helmingas	Helmingas	false
land_units_onscreen_name_roh_meduseld_guard	Guards of Meduseld	false
land_units_onscreen_name_roh_household_knights	Household Knights	false
land_units_onscreen_name_roh_household_knights_theodred	Prince Théodred (Household Knights)	false
land_units_onscreen_name_roh_household_knights_theoden	King Théoden (Household Knights)	false
land_units_onscreen_name_roh_eored_king_mark	Éored of the King's Mark	false
land_units_onscreen_name_roh_eored_king_mark_eomer	Éomer (Éored of the King's Mark)	false
land_units_onscreen_name_roh_erkenbrand	Erkenbrand (Helmingas)	false
