key	text	tooltip
#Loc;1;text/db/rom_units_wr.loc		
land_units_onscreen_name_wr_lasgalen_bows	Lasgalen Archers	false
land_units_onscreen_name_wr_lasgalen_spears	Lasgalen Spears	false
land_units_onscreen_name_wr_lasgalen_swords	Lasgalen Blades	false
land_units_onscreen_name_wr_hall_guardians	Hall Guardians	false
land_units_onscreen_name_wr_elvenking_riders	Elvenking's Riders	false
land_units_onscreen_name_wr_lasgalen_lords	Lords of Lasgalen	false
land_units_onscreen_name_wr_forest_rangers	Lasgalen Rangers	false
land_units_onscreen_name_wr_forest_sentinels	Forest Sentinels	false
land_units_onscreen_name_wr_gate_wardens	Gate Wardens	false
land_units_onscreen_name_wr_forest_archers	Forest Archers	false
land_units_onscreen_name_wr_forest_spears	Forest Spears	false
land_units_onscreen_name_wr_forest_riders	Forest Riders	false
land_units_onscreen_name_wr_silvan_archers	Silvan Archers	false
land_units_onscreen_name_wr_silvan_axes	Silvan Axes	false
land_units_onscreen_name_wr_silvan_spears	Silvan Spears	false
land_units_onscreen_name_wr_gurthlagor	Gurthlagor	false
land_units_onscreen_name_wr_legolas	Legolas (Lasgalen Rangers)	false
land_units_onscreen_name_wr_thranduil	Thranduil (Elvenking's Riders)	false
