key	text	tooltip
#Loc;1;text/db/fote_aoc_land_units.loc		
land_units_onscreen_name_cha_avar_boatmen	Avar Boatmen	true
land_units_onscreen_name_cha_avar_foot_archers	Avar Foot Archers	true
land_units_onscreen_name_cha_avar_guard	Avar Guard	true
land_units_onscreen_name_cha_avar_guard_boatmen	Avar Guard Boatmen	true
land_units_onscreen_name_cha_avar_heavy_boatmen	Avar Heavy Boatmen	true
land_units_onscreen_name_cha_avar_horse_archers	Avar Horse Archers	true
land_units_onscreen_name_cha_avar_horse_masters	Avar Horse Masters	true
land_units_onscreen_name_cha_avar_lancers	Avar Lancers	true
land_units_onscreen_name_cha_avar_levy_archers	Levy Archers	true
land_units_onscreen_name_cha_avar_levy_spear	Levy Spearmen	true
land_units_onscreen_name_cha_avar_light_boatmen	Avar Light Boatmen	true
land_units_onscreen_name_cha_avar_noble_archers	Avar Noble Horse Archers	true
land_units_onscreen_name_cha_avar_noble_lancers	Avar Noble Lancers	true
land_units_onscreen_name_cha_avar_noble_sword	Avar Noble Swordsmen	true
land_units_onscreen_name_cha_avar_onager	Onager	true
land_units_onscreen_name_cha_avar_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_avar_shieldbearers	Spearmen Sparaba	true
land_units_onscreen_name_cha_avar_spear	Spearmen	true
land_units_onscreen_name_cha_avar_tribesmen	Tribesmen	true
land_units_onscreen_name_cha_bre_armorican_cav	Armorican Cavalry	true
land_units_onscreen_name_cha_bre_armorican_knights	Armorican Knights	true
land_units_onscreen_name_cha_byz_archer_boatmen	Archer Boatmen	true
land_units_onscreen_name_cha_byz_archers	Toxotai (Archers)	true
land_units_onscreen_name_cha_byz_armoured_archers	Toxotai Thorakites (Armored Bowmen)	true
land_units_onscreen_name_cha_byz_artillery_crew	Balistaroi	true
land_units_onscreen_name_cha_byz_duxs_guard	Optimatos	true
land_units_onscreen_name_cha_byz_elite_skutatoi_spear	Epilektoi Hoplitai (Heavy Spearmen)	true
land_units_onscreen_name_cha_byz_guard_marines	Guard Marines	true
land_units_onscreen_name_cha_byz_horse_archer_kursores	Kursores (Horse Archers)	true
land_units_onscreen_name_cha_byz_iuvenes	Spatharioi Iuvenes (Light Swordsmen)	true
land_units_onscreen_name_cha_byz_large_onager	Large Onager	true
land_units_onscreen_name_cha_byz_levy_marines	Levy Marines	true
land_units_onscreen_name_cha_byz_levy_spear	Doryphoroi (Levy Spearmen)	true
land_units_onscreen_name_cha_byz_light_cav	Kavallarioi (Light Cavalry)	true
land_units_onscreen_name_cha_byz_medium_cav_defensores	Defensores (Line Cavalry)	true
land_units_onscreen_name_cha_byz_onager	Onager	true
land_units_onscreen_name_cha_byz_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_byz_scout_cavalry	Procursatores (Scout Cavalry)	true
land_units_onscreen_name_cha_byz_skirm	Akontistai (Javelinmen)	true
land_units_onscreen_name_cha_byz_skutatoi	Spatharioi Hoplitai (Skutatoi Swordsmen)	true
land_units_onscreen_name_cha_byz_skutatoi_axemen	Pelekyphoroi Hoplitai (Skutatoi Axemen)	true
land_units_onscreen_name_cha_byz_skutatoi_marines	Skutatoi Marines	true
land_units_onscreen_name_cha_byz_skutatoi_pyro	Spatharioi ton Hygròn Pŷr (Skutatoi with Bombs)	true
land_units_onscreen_name_cha_byz_skutatoi_spear	Skutatoi (Skutatoi Spearmen)	true
land_units_onscreen_name_cha_byz_tagmata_cavalry	Tagmata Kavallarioi	true
land_units_onscreen_name_cha_cel_archer_boatmen	Archer Boatmen	true
land_units_onscreen_name_cha_cel_armoured_spear	Armoured Spearmen	true
land_units_onscreen_name_cha_cel_armoured_spear_pictish	Pictish Armoured Spearmen	true
land_units_onscreen_name_cha_cel_axemen	Axemen	true
land_units_onscreen_name_cha_cel_fianna	Fianna	true
land_units_onscreen_name_cha_cel_gazelhounds	Gazehounds	true
land_units_onscreen_name_cha_cel_horsemen	Horsemen	true
land_units_onscreen_name_cha_cel_javelin_boatmen	Javelin Boatmen	true
land_units_onscreen_name_cha_cel_javelinmen	Javelinmen	true
land_units_onscreen_name_cha_cel_kerns	Kerns	true
land_units_onscreen_name_cha_cel_kings_fianna	King's Fianna	true
land_units_onscreen_name_cha_cel_kings_warband	King's Warband	true
land_units_onscreen_name_cha_cel_levy_archers	Levy Archers	true
land_units_onscreen_name_cha_cel_levy_spear	Levy Spearmen	true
land_units_onscreen_name_cha_cel_light_cavalry	Celtic Light Horsemen	true
land_units_onscreen_name_cha_cel_onager	Onager	true
land_units_onscreen_name_cha_cel_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_cel_pictish_archers	Pictish Archers	true
land_units_onscreen_name_cha_cel_pictish_crossbowmen	Pictish Crossbowmen	true
land_units_onscreen_name_cha_cel_pictish_nobles	Pictish Nobles	true
land_units_onscreen_name_cha_cel_royal_horsemen	Royal Horsemen	true
land_units_onscreen_name_cha_cel_spear	Spearmen	true
land_units_onscreen_name_cha_cel_spear_boatmen	Spear Boatmen	true
land_units_onscreen_name_cha_cel_sword	Swordsmen	true
land_units_onscreen_name_cha_cel_sword_band	Sword Band	true
land_units_onscreen_name_cha_cel_sword_boatmen	Sword Boatmen	true
land_units_onscreen_name_cha_cel_sword_warriors	Sword Warriors	true
land_units_onscreen_name_cha_cel_teulu	Teulu	true
land_units_onscreen_name_cha_cel_teulu_marines	Teulu Marines	true
land_units_onscreen_name_cha_cel_welsh_archers	Welsh Archers	true
land_units_onscreen_name_cha_cel_welsh_longbowmen	Welsh Longbowmen	true
land_units_onscreen_name_cha_eng_crossbowmen	Crossbowmen	true
land_units_onscreen_name_cha_eng_fyrd_archer_boatmen	Fyrd Archer Boatmen	true
land_units_onscreen_name_cha_eng_fyrd_archers	Fyrd Archers	true
land_units_onscreen_name_cha_eng_fyrd_axemen	Fyrd Axemen	true
land_units_onscreen_name_cha_eng_fyrd_boatmen	Fyrd Boatmen	true
land_units_onscreen_name_cha_eng_fyrd_javelinmen	Fyrd Javelinmen	true
land_units_onscreen_name_cha_eng_fyrd_slingers	Fyrd Slingers	true
land_units_onscreen_name_cha_eng_fyrd_spear	Fyrd Spearmen	true
land_units_onscreen_name_cha_eng_fyrd_sword	Fyrd Swordsmen	true
land_units_onscreen_name_cha_eng_horsemen	Horsemen	true
land_units_onscreen_name_cha_eng_onager	Onager	true
land_units_onscreen_name_cha_eng_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_eng_royal_companions	Royal Companions	true
land_units_onscreen_name_cha_eng_royal_companions_mounted	Mounted Royal Guard	true
land_units_onscreen_name_cha_eng_royal_horsemen	Royal Horsemen	true
land_units_onscreen_name_cha_eng_royal_marines	Royal Marines	true
land_units_onscreen_name_cha_eng_royal_thegns	Royal Thegns	true
land_units_onscreen_name_cha_eng_select_archers	Select Archers	true
land_units_onscreen_name_cha_eng_select_axemen	Select Axemen	true
land_units_onscreen_name_cha_eng_select_spear	Select Spearmen	true
land_units_onscreen_name_cha_eng_thegn_boatmen	Thegn Boatmen	true
land_units_onscreen_name_cha_eng_thegn_spearmen	Thegn Spearmen	true
land_units_onscreen_name_cha_eng_thegns	Thegns	true
land_units_onscreen_name_cha_fra_archers	Sagittarii Exercitum (Army Archers)	true
land_units_onscreen_name_cha_fra_armoured_spear	Lanciarii Exercitum (Heavy Spearmen)	true
land_units_onscreen_name_cha_fra_armoured_sword	Spatharii Exercitum (Heavy Swordsmen)	true
land_units_onscreen_name_cha_fra_artillery_crew	Frankish Artillery Crew	true
land_units_onscreen_name_cha_fra_cav	Caballari Exercitum (Army Horsemen)	true
land_units_onscreen_name_cha_fra_crossbowmen	Arcubalistarii	true
land_units_onscreen_name_cha_fra_guardsmen	Milites Aulae Regiae (Knights of the Court)	true
land_units_onscreen_name_cha_fra_heavy_marines	Frankish Heavy Marines	true
land_units_onscreen_name_cha_fra_horse_archers	Equites Sagittarii (Horse Archers)	true
land_units_onscreen_name_cha_fra_horsemen	Bannum Caballariorum (Freemen Horsemen)	true
land_units_onscreen_name_cha_fra_horsemen_landowners	Vassi Caballariorum (Nobles' Horsemen)	true
land_units_onscreen_name_cha_fra_large_onager	Large Onager	true
land_units_onscreen_name_cha_fra_levy_archers	Sagittarii Landweri (Levy Archers)	true
land_units_onscreen_name_cha_fra_levy_skirm	Cives Armati (Levy Skirmishers)	true
land_units_onscreen_name_cha_fra_levy_spear	Pedites Landweri (Levy Spearmen)	true
land_units_onscreen_name_cha_fra_light_boatmen	Light Boatmen	true
land_units_onscreen_name_cha_fra_marines	Frankish Marines	true
land_units_onscreen_name_cha_fra_mounted_archers	Equitatus Sagittarii Exercitum (Mounted Archers)	true
land_units_onscreen_name_cha_fra_mounted_spear	Milites Lanciarii Exercitum (Mounted Infantry Spearmen)	true
land_units_onscreen_name_cha_fra_mounted_swordsmen	Milites Spatharii Exercitum (Mounted Infantry Swordsmen)	true
land_units_onscreen_name_cha_fra_onager	Onager	true
land_units_onscreen_name_cha_fra_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_fra_palace_guard	Milites Palatini (Royal Spearmen)	true
land_units_onscreen_name_cha_fra_paladin_guardsmen	Equites Loricati Palatini (Royal Knights)	true
land_units_onscreen_name_cha_fra_picked_marines	Picked Marines	true
land_units_onscreen_name_cha_fra_scola_cav	Caballarii Scholae (Heavy Horsemen)	true
land_units_onscreen_name_cha_fra_scola_knights	Milites Scholae (Knights)	true
land_units_onscreen_name_cha_fra_skirm	Ferentarii (Javelinmen)	true
land_units_onscreen_name_cha_fra_spear	Bannum Lanciariorum (Freemen Spearmen)	true
land_units_onscreen_name_cha_fra_sword	Bannum Spatharorum (Freemen Swordsmen)	true
land_units_onscreen_name_cha_gen_archers	Sagittarii (Archers)	true
land_units_onscreen_name_cha_gen_armoured_spear	Lanciarii Armaturae (Armored Spearmen)	true
land_units_onscreen_name_cha_gen_armoured_sword	Spatharii Armaturae (Armored Swordsmen)	true
land_units_onscreen_name_cha_gen_artillery_crew	Balistarii	true
land_units_onscreen_name_cha_gen_crossbowmen	Arcubalistarii	true
land_units_onscreen_name_cha_gen_crossbowmen_levy	Arcubalistarii	true
land_units_onscreen_name_cha_gen_guard_cav	Milites Loricati	true
land_units_onscreen_name_cha_gen_guard_marines	Guard Marines	true
land_units_onscreen_name_cha_gen_heavy_marines	Heavy Marines	true
land_units_onscreen_name_cha_gen_horsemen_landowners	Caballarii Optimati (Nobles' Cavalry)	true
land_units_onscreen_name_cha_gen_knights	Milites (Knights)	true
land_units_onscreen_name_cha_gen_large_onager	Large Onager	true
land_units_onscreen_name_cha_gen_levy_archers	Pagi Sagittarii (Peasant Archers)	true
land_units_onscreen_name_cha_gen_levy_skirm	Levis Armaturae (Levy Skirmishers)	true
land_units_onscreen_name_cha_gen_levy_spear	Pagi Lanciarii (Peasant Spearmen)	true
land_units_onscreen_name_cha_gen_light_boatmen	Light Boatmen	true
land_units_onscreen_name_cha_gen_marines	Marines	true
land_units_onscreen_name_cha_gen_noble_cav	Caballarii Comitatorum (Nobles' Horsemen)	true
land_units_onscreen_name_cha_gen_onager	Onager	true
land_units_onscreen_name_cha_gen_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_gen_skirm	Ferentarii (Javelinmen)	true
land_units_onscreen_name_cha_gen_skirm_cav	Equites Ferentarii (Light Cavalry)	true
land_units_onscreen_name_cha_gen_spear	Lanciarii (Spearmen)	true
land_units_onscreen_name_cha_gen_sword	Spatharii (Swordsmen)	true
land_units_onscreen_name_cha_lom_archers	Sagittarii Arimanni (Freeborn Archers)	true
land_units_onscreen_name_cha_lom_artillery_crew	Balistarii	true
land_units_onscreen_name_cha_lom_axemen	Pedites Arimanni (Freeborn Axemen)	true
land_units_onscreen_name_cha_lom_clubmen	Cives Armaturae (Armed Citizens)	true
land_units_onscreen_name_cha_lom_gastald_cav	Equites Gastaldii (Noble Horsemen)	true
land_units_onscreen_name_cha_lom_gastald_guardsmen	Equites Regum (Royal Horsemen)	true
land_units_onscreen_name_cha_lom_gastald_knights	Equites Gasindii (High Nobles' Cavalry)	true
land_units_onscreen_name_cha_lom_gastald_marines	Gastald Marines	true
land_units_onscreen_name_cha_lom_gastald_swordsmen	Spatharii Gastaldii (Noble Swordsmen)	true
land_units_onscreen_name_cha_lom_guardsmen	Lanciarii Gastaldii (Noble Spearmen)	true
land_units_onscreen_name_cha_lom_heavy_marines	Lombard Heavy Marines	true
land_units_onscreen_name_cha_lom_horsemen	Equites Langobardii (Lombard Horsemen)	true
land_units_onscreen_name_cha_lom_horsemen_landowners	Equites Gastaldii (Noble Mounted Spearmen)	true
land_units_onscreen_name_cha_lom_lancers	Contarii Langobardorum (Lombard Lancers)	true
land_units_onscreen_name_cha_lom_large_onager	Large Onager	true
land_units_onscreen_name_cha_lom_levy	Pagi Armaturae (Armed Peasants)	true
land_units_onscreen_name_cha_lom_levy_archers	Pagi Sagittarii (Peasant Archers)	true
land_units_onscreen_name_cha_lom_levy_axemen	Pedites Servorum (Armed Servants)	true
land_units_onscreen_name_cha_lom_levy_skirm	Levis Armaturae (Levy Skirmishers)	true
land_units_onscreen_name_cha_lom_levy_spear	Servi Lanciarii (Serf Spearmen)	true
land_units_onscreen_name_cha_lom_light_boatmen	Lombard Light Boatmen	true
land_units_onscreen_name_cha_lom_marines	Lombard Marines	true
land_units_onscreen_name_cha_lom_night_raiders	Equites Avarorum (Avar Horse Skirmishers)	true
land_units_onscreen_name_cha_lom_onager	Onager	true
land_units_onscreen_name_cha_lom_onager_bastion	Bastion Onager	true
land_units_onscreen_name_cha_lom_raider_cav	Equites Ferentarii (Light Cavalry Skirmishers)	true
land_units_onscreen_name_cha_lom_skirm	Ferentarii (Javelinmen)	true
