key	text	tooltip
#Loc;1;text/db/fote_bel_land_units.loc		
land_units_onscreen_name_bel_ost_ballistarii	Arcubalistarii	true
land_units_onscreen_name_bel_ost_cheiroballista	Balistarii	true
land_units_onscreen_name_bel_ost_elite_ostrogothic_pikemen	Pedites Contarii Excercitorum	true
land_units_onscreen_name_bel_ost_elite_sagittarii	Ambacti Sagittarii	true
land_units_onscreen_name_bel_ost_gothic_horsemen	Equites Promoti Italiarum	true
land_units_onscreen_name_bel_ost_gothic_lancers	Equites Lanciarii Gothorum	true
land_units_onscreen_name_bel_ost_gothic_pikemen	Pedites Ambacti Gothorum	true
land_units_onscreen_name_bel_ost_javelinmen	Pedites Contarii Gothorum	true
land_units_onscreen_name_bel_ost_large_onager	Siege Onager	true
land_units_onscreen_name_bel_ost_noble_gothic_landers	Equites Clibanarii Gothorum	true
land_units_onscreen_name_bel_ost_noble_horsemen	Equites Contarii Italiarum	true
land_units_onscreen_name_bel_ost_noble_javelinmen	Exculcatores Palatini Italiarum	true
land_units_onscreen_name_bel_ost_spear_veterans	Lanciarii Seniores Italiarum	true
land_units_onscreen_name_bel_rom_antesignani	Milites	true
land_units_onscreen_name_bel_rom_ballistarii	Arcubalistarii	true
land_units_onscreen_name_bel_rom_bucellarii_guard_axemen	Lanciarii Palatina	true
land_units_onscreen_name_bel_rom_bucellarii_guard_cavalry	Bucellarii	true
land_units_onscreen_name_bel_rom_cataphracti	Equites Catafractarii	true
land_units_onscreen_name_bel_rom_cheiroballista	Balistarii	true
land_units_onscreen_name_bel_rom_elite_ballistarii	Milites Arcubalistarii	true
land_units_onscreen_name_bel_rom_foederati	Foederati Spatharii	true
land_units_onscreen_name_bel_rom_foederati_cav	Foederati Equites Gothi	true
land_units_onscreen_name_bel_rom_foederati_horse_archers	Foederati Hunni	true
land_units_onscreen_name_bel_rom_hippo_toxotai	Equites Sagittarii	true
land_units_onscreen_name_bel_rom_limitanei	Lanciarii Limitanei	true
land_units_onscreen_name_bel_rom_scout_equites	Equites Dalmatae	true
land_units_onscreen_name_bel_rom_skutatoi	Cohors Comitatenses	true
land_units_onscreen_name_bel_rom_skutatoi_axemen	Foederati Gothi	true
land_units_onscreen_name_bel_rom_skutatoi_spears	Lanciarii Comitatenses	true
land_units_onscreen_name_bel_rom_tagmata_cavalry	Schola Scutariorum Clibanariorum	true
land_units_onscreen_name_bel_van_moorish_levy	Lanciarii Maurorum	true
land_units_onscreen_name_bel_van_noble_vandal_horsemen	Vandali Ambacti Equitatae	true
land_units_onscreen_name_bel_van_noble_vandal_swordsmen	Vandali Ambacti Spatharii	true
land_units_onscreen_name_bel_van_vandal_horsemen	Vandali Equitatae	true
land_units_onscreen_name_bel_van_vandali_comitatus	Vandali Comitati Spatharii	true
