key	text	tooltip
#Loc;1;text/db/fote_celtic_land_units.loc		
land_units_onscreen_name_att_cel_black_blades	Cruithin Uchelwr Cleddyfwyr	true
land_units_onscreen_name_att_cel_caledonian_axemen	Gwyddelig Clopawyr	true
land_units_onscreen_name_att_cel_cateran_brigade	Albanwr Herwyr Ceathairne	true
land_units_onscreen_name_att_cel_celtic_archers	Gwyr Rhydd Saethwyr	true
land_units_onscreen_name_att_cel_celtic_axe_band	Gwerin Bwyellwyr	true
land_units_onscreen_name_att_cel_celtic_axe_warriors	Gwyr Rhydd Bwyellwyr	true
land_units_onscreen_name_att_cel_celtic_band	Gwyr Rhydd Cleddyfwyr	true
land_units_onscreen_name_att_cel_celtic_berserkers	Guildil Anwarddyn	true
land_units_onscreen_name_att_cel_celtic_bows	Gwerin Saethwyr	true
land_units_onscreen_name_att_cel_celtic_brigands	Ieuengaidd Picellwyr	true
land_units_onscreen_name_att_cel_celtic_cavalry_raiders	Rhydd Marchogwyr	true
land_units_onscreen_name_att_cel_celtic_crossbows	Cruithin Croesfwawyr	true
land_units_onscreen_name_att_cel_celtic_levy	Gwerin Berwyr	true
land_units_onscreen_name_att_cel_celtic_nobles	Brytanaidd Teuluwr Marchfilwyr	true
land_units_onscreen_name_att_cel_celtic_skirmishers	Gwyr Rhydd Picellwyr	true
land_units_onscreen_name_att_cel_celtic_spearmen	Uchelwr Berwyr	true
land_units_onscreen_name_att_cel_celtic_spears	Gwyr Rhydd Berwyr	true
land_units_onscreen_name_att_cel_celtic_warband	Uchelwr Cleddyfwyr	true
land_units_onscreen_name_att_cel_celtic_warlord	Teuluwr Cleddyfwyr	true
land_units_onscreen_name_att_cel_celtic_warriors	Coisithe Cleddyfwyr	true
land_units_onscreen_name_att_cel_celtic_woodrunners	Berwyr am Sgaothaich	true
land_units_onscreen_name_att_cel_chosen_raiders	Cruithin Uchelwr Marchogwyr	true
land_units_onscreen_name_att_cel_ebdani_cavalry_raiders	Gwyddelig Marcraid	true
land_units_onscreen_name_att_cel_ebdani_raiders	Gwyddelig Picellwyr	true
land_units_onscreen_name_att_cel_fianna	Rhyfelwyr am Sgaothaich	true
land_units_onscreen_name_att_cel_followers_of_morrigan	Anwarddyn am Cuchulainn	true
land_units_onscreen_name_att_cel_gallowglass	Cruithin Uchelwr Bwyellwyr	true
land_units_onscreen_name_att_cel_gazehounds	Coin Breug	true
land_units_onscreen_name_att_cel_highland_archers	Cruithin Saethwyr	true
land_units_onscreen_name_att_cel_horse_whisperers	Cruithin Rhydd Berwyr	true
land_units_onscreen_name_att_cel_kerns	Gwyddelig Uchelwr Picellwyr	true
land_units_onscreen_name_att_cel_kings_fianna	Cruithin Teuluwr Marchogwyr	true
land_units_onscreen_name_att_cel_kings_warband	Gwyddelig Anwarddyn	true
land_units_onscreen_name_att_cel_mormaer_cavalry	Brytanaidd Cymbrogi Marchogwyr	true
land_units_onscreen_name_att_cel_mounted_spear_raiders	Cruithin Marchfilwyr	true
land_units_onscreen_name_att_cel_onager	Blifiau	true
land_units_onscreen_name_att_cel_onager_bastion	Amddiffynfa Blifiau	true
land_units_onscreen_name_att_cel_pictish_axemen	Cruithin Bwyellwyr	true
land_units_onscreen_name_att_cel_pictish_berserkers	Cruithin Anwarddyn	true
land_units_onscreen_name_att_cel_pictish_swordsmen	Cruithin Cleddyfwyr	true
land_units_onscreen_name_att_cel_round_shield_raiders	Cruithin Uchelwr Marchogwyr	true
land_units_onscreen_name_att_cel_scathas_teachers	Cruithin Rhydd Bwyellwyr	true
land_units_onscreen_name_att_cel_sighthound_spears	Cruithin Uchelwr Berwyr	true
land_units_onscreen_name_att_cel_tanist	Gwyddelig Gaithlennach	true
land_units_onscreen_name_att_cel_wolfhound_spearmen	Cruithin Coisithe Berwyr	true
land_units_onscreen_name_fote_cel_axe_infantry_pictish	Cruithin Coisinthe Bwyellwyr	true
land_units_onscreen_name_fote_cel_axemen_nobles_early	Uchelwr Bwyellwyr	true
land_units_onscreen_name_fote_cel_axemen_nobles_late	Coisithe Bwyellwyr	true
land_units_onscreen_name_fote_cel_british_spearmen_medium	Brytanaidd Pedyt Berwyr	true
land_units_onscreen_name_fote_cel_cavalry_noble_early	Uchelwr Marchogwyr	true
land_units_onscreen_name_fote_cel_cavalry_noble_late	Uchelwr Marchogwyr	true
land_units_onscreen_name_fote_cel_javelinmen_pictish	Cruithin Gaithlennach	true
land_units_onscreen_name_fote_cel_noble_spearmen_late	Coisithe Berwyr	true
land_units_onscreen_name_fote_cel_pictish_warlord	Cruithin Teuluwr Cleddyfwyr	true
land_units_onscreen_name_fote_cel_pikemen_pictish	Cruithin Gwaywffyn	true
land_units_onscreen_name_fote_cel_romano_british_horsemen	Rhufenig-Brytanaidd Marchogwyr	true
land_units_onscreen_name_fote_cel_romano_british_spearmen	Rhufenig-Brytanaidd Berwyr	true
land_units_onscreen_name_fote_cel_romano_british_swordsmen	Rhufenig-Brytanaidd Cleddyfwyr	true
land_units_onscreen_name_fote_cel_slinger_t1_levy	Tafliedydd	true
