key	text	tooltip
#Loc;1;text/db/fote_desert_land_units.loc		
land_units_onscreen_name_att_des_amazigh_lancers	Equites Mauri Nomades	true
land_units_onscreen_name_att_des_amazigh_raiders	Equites Numidarum	true
land_units_onscreen_name_att_des_amazigh_spearmen	Lanciarii Mauri	true
land_units_onscreen_name_att_des_arabic_horsemen	Fawaris Al-Jund	true
land_units_onscreen_name_att_des_armoured_camel_warriors	Rammah Al-Ibil Al-Jund	true
land_units_onscreen_name_att_des_camel_lancers	Rammah Al-Ibil Al-Badawi	true
land_units_onscreen_name_att_des_camel_warriors	Dromedarii Mauri	true
land_units_onscreen_name_att_des_desert_bowmen	Rumat Al-Arab	true
land_units_onscreen_name_att_des_desert_chieftain	Fawaris Al-Ashraf	true
land_units_onscreen_name_att_des_desert_hurlers	Maqali Al-Arab	true
land_units_onscreen_name_att_des_desert_legionary_defectors	Asyaf Al-Jund	true
land_units_onscreen_name_att_des_desert_levy	Rammah Al-Ghawgha	true
land_units_onscreen_name_att_des_desert_mounted_javelinmen	Sa'ba Afras Haqqalat	true
land_units_onscreen_name_att_des_desert_mounted_skirmishers	Fawaris Al-Bedawi	true
land_units_onscreen_name_att_des_desert_palatina_defectors	Asyaf Al-Murtaziqa	true
land_units_onscreen_name_att_des_desert_raiders	Fawaris Al-Arab	true
land_units_onscreen_name_att_des_desert_spears	Rammah Al-Arab	true
land_units_onscreen_name_att_des_desert_tribesmen	Asyaf Al-Arab	true
land_units_onscreen_name_att_des_desert_warlord	Equites Sacer-Comitati Maurorum	true
land_units_onscreen_name_att_des_elite_nubian_archers	Darabawiat za-Noba	true
land_units_onscreen_name_att_des_es_abunas_guard	Sab'a Afras Negusawi	true
land_units_onscreen_name_att_des_es_adana_marksmen	Kalabat za-Noba	true
land_units_onscreen_name_att_des_es_adana_trackers	Kalabat-a Harb	true
land_units_onscreen_name_att_des_es_afar_camel_riders	Gamalawiat za-Haqqalat	true
land_units_onscreen_name_att_des_es_afar_raidmasters	Sab'a 'Asyaf za-Hawari	true
land_units_onscreen_name_att_des_es_afar_swordsmen	Sab'a 'Asyaf za-Habasa	true
land_units_onscreen_name_att_des_es_al_dawser	Fawaris Al-Dawser	true
land_units_onscreen_name_att_des_es_al_rahrain	Asyaf Al-Wad'ai	true
land_units_onscreen_name_att_des_es_al_shahba	Fawaris Al-Shabha	true
land_units_onscreen_name_att_des_es_almaqahs_lancers	Quntariyya Al-Ibil Al-Himyar	true
land_units_onscreen_name_att_des_es_armoured_himyarite_shotelai	Ibil Al-Himyar	true
land_units_onscreen_name_att_des_es_ashum	Rumat Al-Yaman	true
