key	text	tooltip
#Loc;1;text/db/fote_eastern_land_units.loc		
land_units_onscreen_name_att_est_armenian_slingers	Subanan-i Kofik	true
land_units_onscreen_name_att_est_armenian_spears	Nezagdaran i Adurbadaganik	true
land_units_onscreen_name_att_est_armoured_indian_elephants	Pilban i Sassani	true
land_units_onscreen_name_att_est_camel_clibanarii	Usha-bari Aswaran	true
land_units_onscreen_name_att_est_dailamite_warriors	Arteshtaran i Adurbadaganik	true
land_units_onscreen_name_att_est_elite_dailamite_infantry	Arteshtaran-i Padishkhwargarik	true
land_units_onscreen_name_att_est_elite_immortals	Nezagdaran i Sassani	true
land_units_onscreen_name_att_est_elite_savaran_cavalry	Aswaran i Azadan	true
land_units_onscreen_name_att_est_grivpanvar_cataphracts	Aswaran Grivpanvar i Parsik	true
land_units_onscreen_name_att_est_gyan_avspar	Gyan Avspar	true
land_units_onscreen_name_att_est_immortals	Nezagdaran i Gund	true
land_units_onscreen_name_att_est_indian_elephants	Pilban	true
land_units_onscreen_name_att_est_kurdish_archers	Kamandaran i Adurbadaganik	true
land_units_onscreen_name_att_est_kurdish_javelinmen	Selmandan i Kofik	true
land_units_onscreen_name_att_est_lakhmid_scouts	Aswaran i Tazigik	true
land_units_onscreen_name_att_est_naft_throwers	Nafteshmandan	true
land_units_onscreen_name_att_est_onager	Charkh	true
land_units_onscreen_name_att_est_onager_large	Kamaan-i Charkh	true
land_units_onscreen_name_att_est_paighan_band	Nezagdaran i Kofig	true
land_units_onscreen_name_att_est_persian_bowmen	Kamanadaran i Gund	true
land_units_onscreen_name_att_est_persian_bows	Kamanadaran i Paighan	true
land_units_onscreen_name_att_est_persian_brigade	Bandagan i Azadan	true
land_units_onscreen_name_att_est_persian_cataphracts	Aswaran Grivpanvar i Kordik	true
land_units_onscreen_name_att_est_persian_hurlers	Subanan	true
land_units_onscreen_name_att_est_persian_levy	Nezagdaran i Paighan	true
land_units_onscreen_name_att_est_persian_mounted_bowmen	Aswaran i Kordik	true
land_units_onscreen_name_att_est_persian_mounted_warriors	Aswaran i Adurbadaganik	true
land_units_onscreen_name_att_est_persian_nobles	Jangavaran i Azadan	true
land_units_onscreen_name_att_est_persian_scouts	Selmandan i Kordik	true
land_units_onscreen_name_att_est_persian_skirmishers	Selmandan i Paighan	true
land_units_onscreen_name_att_est_pushtighban_cataphracts	Pushtighban Grivpanvar	true
land_units_onscreen_name_att_est_royal_persian_archers	Kamandaran i Sassani	true
land_units_onscreen_name_att_est_sassanid_onager_large	Kamaan-i Charkh Wuzurg	true
land_units_onscreen_name_att_est_savaran_cataphracts	Aswaran Grivpanvar i Parsik	true
land_units_onscreen_name_att_est_savaran_cavalry	Aswaran i Dahigan	true
land_units_onscreen_name_att_est_savaran_sardar	Aswaran Sardar	true
land_units_onscreen_name_att_est_sogdian_warriors	Arteshtaran i Kofik	true
land_units_onscreen_name_att_est_spahbed	Jangavaran i Wuzurgan	true
land_units_onscreen_name_att_est_zhayedan_immortal_cavalry	Zhayedan	true
land_units_onscreen_name_fote_est_armenian_cataphracts	Nakharar	true
land_units_onscreen_name_fote_est_armenian_cataphracts_elite	Zorawar Makhazakar	true
land_units_onscreen_name_fote_est_caucasian_bows	Shinakan Ahehnawor	true
land_units_onscreen_name_fote_est_caucasian_levy	Rhamik Nizakawor	true
land_units_onscreen_name_fote_est_cheiroballistra	Zanburak	true
land_units_onscreen_name_fote_est_chosen_immortals	Nezagdaran i Eranshahr	true
land_units_onscreen_name_fote_est_dailamite_raiders	Daylamigan i Dahigan	true
land_units_onscreen_name_fote_est_dailamite_spears	Gond-i Daylamigan	true
land_units_onscreen_name_fote_est_dailamite_warriors	Aswaran i Daylamigan	true
land_units_onscreen_name_fote_est_elite_caucasian_spears	Kentronakan	true
land_units_onscreen_name_fote_est_varhranighan_khvadhay	Varhranighan-Khvadhay	true
