key	text	tooltip
#Loc;1;text/db/fote_german_land_units.loc		
land_units_onscreen_name_att_ger_agathyrsi_warriors	Ferentarii Heruli	true
land_units_onscreen_name_att_ger_alamannic_scavengers	Armati Ferentarii Suevorum	true
land_units_onscreen_name_att_ger_alani_general	Comites Clibanarii Alanorum	true
land_units_onscreen_name_att_ger_alani_horsemen	Equites Contarii Sarmatarum	true
land_units_onscreen_name_att_ger_alani_spearmen	Lanciarii Excercitorum Alani	true
land_units_onscreen_name_att_ger_antrustriones_cavalry_guard	Equites Antrustiones	true
land_units_onscreen_name_att_ger_axe_heerbann	Bellatores Germaniciani	true
land_units_onscreen_name_att_ger_axe_heerbann_alamanns	Bellatores Alamanni	true
land_units_onscreen_name_att_ger_axe_heerbann_franks	Bellatores Franci	true
land_units_onscreen_name_att_ger_axe_heerbann_suebes	Bellatores Suebi	true
land_units_onscreen_name_att_ger_bagaudae	Homines Bagaudae	true
land_units_onscreen_name_att_ger_barbed_javelinmen	Ferentarii Langobardi	true
land_units_onscreen_name_att_ger_barbed_lancers	Equites Contarii Langobardorum	true
land_units_onscreen_name_att_ger_barbed_skirmishers	Ferentarii Burgundi	true
land_units_onscreen_name_att_ger_bejewelled_retinue	Domestici Alamanni	true
land_units_onscreen_name_att_ger_bejewelled_retinue_infantry	Pedites Optimati Alamannorum	true
land_units_onscreen_name_att_ger_burgundian_axemen	Securiferii Burgundi	true
land_units_onscreen_name_att_ger_burgundian_elite_swordsmen	Pedites Optimati Burgundorum	true
land_units_onscreen_name_att_ger_burgundian_guard	Domestici Securiferii Burgundi	true
land_units_onscreen_name_att_ger_burgundian_guard_infantry	Optimati Securiferii Burgundi	true
land_units_onscreen_name_att_ger_burgundian_mounted_axemen	Domestici Burgundi	true
land_units_onscreen_name_att_ger_burgundian_warhounds	Canes Bellatorii	true
land_units_onscreen_name_att_ger_captured_cheiroballistra	Balistarii Germaniciani	true
land_units_onscreen_name_att_ger_chnodomar's_entourage	Comites Lanciarii Alamanni	true
land_units_onscreen_name_att_ger_chnodomar's_entourage_suebi	Comites Lanciarii Suevi	true
land_units_onscreen_name_att_ger_chnodomar's_raiders	Cursores Suevi	true
land_units_onscreen_name_att_ger_chosen_vandal_raiders	Equites Vandali	true
land_units_onscreen_name_att_ger_elite_agathyrsi_cavalry	Equites Heruli	true
land_units_onscreen_name_att_ger_elite_alamannic_scavengers	Armati Ensisi Alamannorum	true
land_units_onscreen_name_att_ger_elite_germanic_archers	Sagittarii Loricati Langobardi	true
land_units_onscreen_name_att_ger_elite_sarmatian_cataphracts	Comites Clibanarii Sarmatarum	true
land_units_onscreen_name_att_ger_elite_sword_heerbann	Spatharii Excercitorum Germani	true
land_units_onscreen_name_att_ger_elite_sword_heerbann_ala	Spatharii Excercitorum Alamanni	true
land_units_onscreen_name_att_ger_elite_sword_heerbann_fra	Spatharii Excercitorum Franci	true
land_units_onscreen_name_att_ger_elite_sword_heerbann_lb	Spatharii Excercitorum Langobardi	true
land_units_onscreen_name_att_ger_francisca_heerbann	Bellatores Excercitorum Franci	true
land_units_onscreen_name_att_ger_frankish_general	Comites Lanciarii Franci	true
land_units_onscreen_name_att_ger_frankish_lancers	Equites Franci	true
land_units_onscreen_name_att_ger_frankish_skirmishers	Ferentarii Franci	true
land_units_onscreen_name_att_ger_freemen	Ambacti Barbari	true
land_units_onscreen_name_att_ger_freemen_east	Ambacti Scythiae	true
land_units_onscreen_name_att_ger_gardingi_cavalry	Equites Gardingi Seniores	true
land_units_onscreen_name_att_ger_germanic_archers	Ambacti Sagittarii	true
land_units_onscreen_name_att_ger_germanic_band	Bellatores Barbari	true
land_units_onscreen_name_att_ger_germanic_bows	Sagittarii Barbari	true
land_units_onscreen_name_att_ger_germanic_brigands	Levis Armaturae Germanorum	true
land_units_onscreen_name_att_ger_germanic_crossbowmen	Clipeati Sagittarii Sueborum	true
land_units_onscreen_name_att_ger_germanic_horsemen	Equites Ambacti Germanorum	true
land_units_onscreen_name_att_ger_germanic_horsemen_alamanns	Equites Ambacti Alamannorum	true
land_units_onscreen_name_att_ger_germanic_horsemen_langobards	Equites Ambacti Langobardorum	true
land_units_onscreen_name_att_ger_germanic_horsemen_suebes	Equites Ambacti Suevorum	true
land_units_onscreen_name_att_ger_germanic_hunters	Venatores Barbari	true
land_units_onscreen_name_att_ger_germanic_hurlers	Funditores Barbari	true
land_units_onscreen_name_att_ger_germanic_lancers	Equites Contarii Germanorum	true
land_units_onscreen_name_att_ger_germanic_levy	Lanciarii Barbari	true
land_units_onscreen_name_att_ger_germanic_mounted_brigands	Equites Ferentarii Germanorum	true
land_units_onscreen_name_att_ger_germanic_mounted_warband	Cunei Germaniciani	true
land_units_onscreen_name_att_ger_germanic_night_raiders	Equites Ferentarii Scythiae	true
land_units_onscreen_name_att_ger_germanic_nobles	Ambacti Spatharii Germanorum	true
