key	text	tooltip
#Loc;1;text/db/fote_nomad_land_units.loc		
land_units_onscreen_name_att_alan_alani_archers	Sagittarii Alani	true
land_units_onscreen_name_att_alan_alani_cavalry_raiders	Equites Alani	true
land_units_onscreen_name_att_alan_alani_cavalry_warriors	Equites Spatharii Alanorum	true
land_units_onscreen_name_att_alan_alani_chosen_raiders	Equites Ambacti Alanorum	true
land_units_onscreen_name_att_alan_alani_horse_archers	Equites Sagittari Alanorum	true
land_units_onscreen_name_att_alan_alani_mounted_bows	Equites Sagittari Sarmatarum	true
land_units_onscreen_name_att_alan_alani_mounted_sword_raiders	Equites Ferentarii Alanorum	true
land_units_onscreen_name_att_alan_alani_nobles_general	Equites Cataphractarii Optimati Alanorum	true
land_units_onscreen_name_att_alan_alani_swordsmen	Ambacti Spatharii Alano-Germanorum	true
land_units_onscreen_name_att_alan_anti_cav_light_tier_4	Equites Lanciarii Optimati Alanorum	true
land_units_onscreen_name_att_alan_sarmatian_band	Bellatores Alani	true
land_units_onscreen_name_att_alan_tank	Equites Optimati Alanorum	true
land_units_onscreen_name_att_nom_acatziri_raiders	Agkaçeri Akınçı	true
land_units_onscreen_name_att_nom_avar_horde	Kunme Lanchiniky	true
land_units_onscreen_name_att_nom_bosphoran_infantry	Ambacti Spatharii Germanorum	true
land_units_onscreen_name_att_nom_bosphoran_warriors	Spatharii Scires	true
land_units_onscreen_name_att_nom_chosen_uar_warriors	Optimati Pedites Germanorum	true
land_units_onscreen_name_att_nom_elite_hunnic_lancers	Kadas Atlıg Süngüglüg	true
land_units_onscreen_name_att_nom_first_wave_lancers	Ordu Atlıg Süngüglüg	true
land_units_onscreen_name_att_nom_hunnic_ambushers	Alpagut Atlıg Yaçit	true
land_units_onscreen_name_att_nom_hunnic_devil_archers	Ordu Atlıg Yaçit	true
land_units_onscreen_name_att_nom_hunnic_devil_cavalry	Equites Sacer-Comitati Germanorum	true
land_units_onscreen_name_att_nom_hunnic_dismounted_warband	Hun Yadag Kılıçi	true
land_units_onscreen_name_att_nom_hunnic_horse_archers	Udmak Atlıg Yaçit	true
land_units_onscreen_name_att_nom_hunnic_horsemen	Equites Comitati Germanorum	true
land_units_onscreen_name_att_nom_hunnic_lancers	Alpagut Atlıg Süngüglüg	true
land_units_onscreen_name_att_nom_hunnic_mounted_bows	Bodun Atlıg Yaçit	true
land_units_onscreen_name_att_nom_hunnic_mounted_warband	Equites Ambacti Germanorum	true
land_units_onscreen_name_att_nom_hunnic_spears	Hun Yadag Süngüglüg	true
land_units_onscreen_name_att_nom_hunnic_warlord	Begler Atlıg Yaçit	true
land_units_onscreen_name_att_nom_noble_acatziri_raiders	Agkaçeri Atlıg Akınçı	true
land_units_onscreen_name_att_nom_noble_horse_archers	Equites Sagittarii Catafractarii Sarmatarum	true
land_units_onscreen_name_att_nom_noble_steppe_cataphracts	Equites Catafractarii Sarmatarum	true
land_units_onscreen_name_att_nom_nokkors	Equites Laeti Sarmatarum	true
land_units_onscreen_name_att_nom_scirii_warriors	Lanciarii Comitati Germanorum	true
land_units_onscreen_name_att_nom_steppe_bows	Sagittarii Scythorum	true
land_units_onscreen_name_att_nom_steppe_cataphracts	Equites Contarii Loricati Sarmatarum	true
land_units_onscreen_name_att_nom_steppe_chieftain	Equites Comitati Imperatoris Sarmatarum	true
land_units_onscreen_name_att_nom_steppe_horse_archers	Equites Sagittarii Loricati Sarmatarum	true
land_units_onscreen_name_att_nom_steppe_lancers	Equites Contarii Sarmatarum	true
land_units_onscreen_name_att_nom_steppe_levy	Servi Lanciarii Scythorum	true
land_units_onscreen_name_att_nom_steppe_mounted_bows	Equites Sagittarii Sarmatarum	true
land_units_onscreen_name_att_nom_steppe_mounted_brigands	Equites Ferentarii Sarmatarum	true
land_units_onscreen_name_att_nom_steppe_mounted_tribespeople	Cunei Scythiae	true
land_units_onscreen_name_att_nom_steppe_raiders	Hun Atlıg Akınçı	true
land_units_onscreen_name_att_nom_steppe_shield_archers	Hun Yadag Yaçit	true
land_units_onscreen_name_att_nom_steppe_spearmen	Lanciarii Germaniciani	true
land_units_onscreen_name_att_nom_steppe_tribespeople	Ambacti Scythiae	true
land_units_onscreen_name_att_nom_steppe_warlord	Kagan Atlıg Yaçit	true
land_units_onscreen_name_att_nom_steppe_warriors	Bellatores Sklabeni-Sarmatarum	true
land_units_onscreen_name_att_nom_uar_archers	Bodun Yadag Yaçit	true
land_units_onscreen_name_att_nom_uar_warriors	Comitati Spatharii Germanorum	true
land_units_onscreen_name_att_nom_unnigarde	Kadas Atlıg Yaçit	true
land_units_onscreen_name_fote_steppe_javelinmen_t1_levy	Ferentarii Scythiae	true
