key	text	tooltip
#Loc;1;text/db/fote_nordic_land_units.loc		
land_units_onscreen_name_att_nor_chieftain_with_gedriht	Cynelicra Gedrihta	true
land_units_onscreen_name_att_nor_chosen_warriors	Kuninga Hird Sverðberendr	true
land_units_onscreen_name_att_nor_elite_duguth_spearmen	Dugutha Gerberendr	true
land_units_onscreen_name_att_nor_elite_nordic_spearmen	Erila Geirrberendr	true
land_units_onscreen_name_att_nor_elite_nordic_warriors	Vikvar Hird Sverðberendr	true
land_units_onscreen_name_att_nor_elite_saxon_javelinmen	Hearthweru Francanberend	true
land_units_onscreen_name_att_nor_geoguth_javelinmen	Geogutha Francanberend	true
land_units_onscreen_name_att_nor_gesithas	Gesithas Sweordboran	true
land_units_onscreen_name_att_nor_hearth_guard	Hearthweru Sweordboran	true
land_units_onscreen_name_att_nor_heroic_cavalry	Kuninga Hird Riddarar	true
land_units_onscreen_name_att_nor_hirdmen	Hird Sverðberendr	true
land_units_onscreen_name_att_nor_huscarls	Harjaz Breiðöx-berendr	true
land_units_onscreen_name_att_nor_nordic_axe_warband	Ceorl Øxberendr	true
land_units_onscreen_name_att_nor_nordic_axe_warriors	Ceorl Breiðöx-berendr	true
land_units_onscreen_name_att_nor_nordic_band	Boendr  Seaxberendr	true
land_units_onscreen_name_att_nor_nordic_bows	Scytereas	true
land_units_onscreen_name_att_nor_nordic_brigade	Ceorl Seaxberendr	true
land_units_onscreen_name_att_nor_nordic_brigands	Ceorl Francanberend	true
land_units_onscreen_name_att_nor_nordic_horse_lords	Erila Hird Riddarar	true
land_units_onscreen_name_att_nor_nordic_horse_raiders	Ceorl Riddarar	true
land_units_onscreen_name_att_nor_nordic_hurlers	Stanweorpereas	true
land_units_onscreen_name_att_nor_nordic_javelinmen	Fenni Francanberend	true
land_units_onscreen_name_att_nor_nordic_levy	Harjaz Geirrberendr	true
land_units_onscreen_name_att_nor_nordic_mounted_raiders	Francanberath Raedehereas	true
land_units_onscreen_name_att_nor_nordic_pikemen	Hjeddberendr	true
land_units_onscreen_name_att_nor_nordic_raid_leader	Húskarlar	true
land_units_onscreen_name_att_nor_nordic_raiders	Francanberath Øxberendr	true
land_units_onscreen_name_att_nor_nordic_skirmishers	Harjaz Francanberend	true
land_units_onscreen_name_att_nor_nordic_spear_masters	Kuninga Hird Geirrberendr	true
land_units_onscreen_name_att_nor_nordic_spearmen	Vikvar Geirrberendr	true
land_units_onscreen_name_att_nor_nordic_warlord	Erila Hird Sverðberendr	true
land_units_onscreen_name_att_nor_nordic_warlord_saxon	Gedrihta Øxberendr	true
land_units_onscreen_name_att_nor_nordic_warriors	Ceorl Sverðberendr	true
land_units_onscreen_name_att_nor_norse_berserkers	Berserkir	true
land_units_onscreen_name_att_nor_royal_huscarls	Hird Húskarlar	true
land_units_onscreen_name_att_nor_saxon_lancers	Dugutha Raedehereas	true
land_units_onscreen_name_att_nor_saxon_mounted_warband	Geogutha Raedehereas	true
land_units_onscreen_name_att_nor_saxon_spears	Gebur Gerberendr	true
land_units_onscreen_name_att_nor_thrall_skirmishers	Thragiloz Francanberend	true
land_units_onscreen_name_att_nor_thrall_spearmen	Boendr Geirrberendr	true
land_units_onscreen_name_att_nor_thrall_spears	Thragiloz Geirrberendr	true
land_units_onscreen_name_att_nor_viking_captain	Vikvar Erila Hird	true
land_units_onscreen_name_att_nor_viking_raider_cavalry	Gautas Riddarar	true
land_units_onscreen_name_att_nor_viking_raiders	Gebur Øxberendr	true
land_units_onscreen_name_att_nor_warhounds	Hundar	true
land_units_onscreen_name_att_nor_wolf_coats	Úlfhéðnar	true
land_units_onscreen_name_fote_nor_axemen_t2	Hird Øxberendr	true
land_units_onscreen_name_fote_nor_axemen_t2_saxon	Geogutha Øxberendr	true
land_units_onscreen_name_fote_nor_axemen_t4_vareg	Hearthweru Øxberendr	true
land_units_onscreen_name_fote_nor_bodyguard_cavalry_geats	Gautas Hird Riddarar	true
land_units_onscreen_name_fote_nor_elite_gedriht_spearmen	Gesithas Gerberendr	true
land_units_onscreen_name_fote_nor_elite_saxon_warriors	Dugutha Sverðberendr	true
land_units_onscreen_name_fote_nor_geoguth_spearmen	Geogutha Gerberendr	true
land_units_onscreen_name_fote_nor_longbowmen	Ceorl Skyti	true
land_units_onscreen_name_fote_nor_saxon_axemen_t3	Dugutha Øxberendr	true
land_units_onscreen_name_fote_nor_saxon_brigade	Gebur Seaxberendr	true
land_units_onscreen_name_fote_nor_saxon_warriors	Geogutha Sverðberendr	true
