key	text	tooltip
#Loc;1;text/db/fote_roman_land_units.loc		
land_units_onscreen_name_att_rom_armigeri_defensores	Brachiati Iuniores	true
land_units_onscreen_name_att_rom_armoured_sagittarii	Sagittarii Loricati	true
land_units_onscreen_name_att_rom_catafractarii	Equites Catafractarii	true
land_units_onscreen_name_att_rom_cheiroballistra	Balistarii	true
land_units_onscreen_name_att_rom_clibanarii	Equites Clibanarii	true
land_units_onscreen_name_att_rom_cohors	Numeri	true
land_units_onscreen_name_att_rom_comes	Protectores Domestici Equites	true
land_units_onscreen_name_att_rom_comes_wre	Protectores Domestici Equites	true
land_units_onscreen_name_att_rom_comitatensis_spears	Lanciarii Comitatenses	true
land_units_onscreen_name_att_rom_contarii	Equites Contarii	true
land_units_onscreen_name_att_rom_cornuti_seniores	Cornuti Seniores	true
land_units_onscreen_name_att_rom_eastern_armoured_legio	Auxilii Palatini Seniores	true
land_units_onscreen_name_att_rom_eastern_auxilia_palatina	Auxilii Palatini Lanciarii	true
land_units_onscreen_name_att_rom_elite_ballistarii	Milites Arcubalistarii	true
land_units_onscreen_name_att_rom_elite_palatina	Brachiati Seniores	true
land_units_onscreen_name_att_rom_equites_dalmatae	Equites Illyriciani	true
land_units_onscreen_name_att_rom_equites_promoti	Equites Promoti	true
land_units_onscreen_name_att_rom_equites_sagittarii	Equites Sagittarii	true
land_units_onscreen_name_att_rom_excubitores_cavalry_guard	Scholae Armaturae	true
land_units_onscreen_name_att_rom_exculcatores	Exculcatores Comitatenses	true
land_units_onscreen_name_att_rom_exploratores	Exploratores	true
land_units_onscreen_name_att_rom_foederati_spears	Foederati Lanciarii	true
land_units_onscreen_name_att_rom_funditores	Funditores	true
land_units_onscreen_name_att_rom_herculiani_iuniores	Cohortes Herculiani et Ioviani	true
land_units_onscreen_name_att_rom_herculiani_seniores	Cohortes Herculiani et Ioviani	true
land_units_onscreen_name_att_rom_imperial_dromedarii	Dromodarii	true
land_units_onscreen_name_att_rom_lanciarii_seniores	Lanciarii Palatini	true
land_units_onscreen_name_att_rom_legio	Limitanei	true
land_units_onscreen_name_att_rom_legio_comitatenses	Milites Pedites	true
land_units_onscreen_name_att_rom_levis_armaturae	Levis Armaturae	true
land_units_onscreen_name_att_rom_limitanei_borderguards	Lanciarii Limitanei	true
land_units_onscreen_name_att_rom_magister_militum	Candidati Domestici Equites	true
land_units_onscreen_name_att_rom_magister_militum_wre	Candidati Domestici Equites	true
land_units_onscreen_name_att_rom_matiarii	Exculcatores Limitanei	true
land_units_onscreen_name_att_rom_noble_foederati_javelinmen	Exculcatores Palatini	true
land_units_onscreen_name_att_rom_numeroi	Palatini	true
land_units_onscreen_name_att_rom_palatina	Comitatenses	true
land_units_onscreen_name_att_rom_palatina_guards	Protectores Domestici Pedites	true
land_units_onscreen_name_att_rom_praeventores	Praeventores	true
land_units_onscreen_name_att_rom_protectores_domestici	Auxilii Palatini Iuniores	true
land_units_onscreen_name_att_rom_ravenna_elite_ballistarii	Arcubalistarii Loricati	true
land_units_onscreen_name_att_rom_sagittarii	Sagittarii	true
land_units_onscreen_name_att_rom_scholae_gentiles	Scholae Gentiles	true
land_units_onscreen_name_att_rom_scholae_palatinae	Scholae Scutarii	true
land_units_onscreen_name_att_rom_scout_equites	Equites Dalmatae	true
land_units_onscreen_name_att_rom_tagmata_cavalry	Scholae Scutarii Clibanarii	true
land_units_onscreen_name_att_rom_western_auxilia_palatina	Auxilii Palatini Lanciarii	true
land_units_onscreen_name_fote_rom_balistarii	Arcubalistarii	true
land_units_onscreen_name_fote_rom_cavalry_lancer_t8_bucellari	Equites Bucellarii	true
land_units_onscreen_name_fote_rom_cavalry_melee_t5_palatina	Vexillationes Palatini	true
land_units_onscreen_name_fote_rom_cavalry_melee_t2_auxilia	Equites Alae	true
land_units_onscreen_name_fote_rom_levy_thugs	Homines Armaturae	true
