key	text	tooltip
#Loc;1;text/db/fote_slavic_land_units.loc		
land_units_onscreen_name_att_slav_ambushers	Suobini Layiniky	true
land_units_onscreen_name_att_slav_archers	Suobini Lanchiniky	true
land_units_onscreen_name_att_slav_axe_levy	Braty Sekyriniky	true
land_units_onscreen_name_att_slav_axe_warriors	Tinjyukay Sekyriniky	true
land_units_onscreen_name_att_slav_axemen	Suobini Sekyriniky	true
land_units_onscreen_name_att_slav_champions	Tinjyukay Mechiniky	true
land_units_onscreen_name_att_slav_chosen_shields	Piyervi Spisiky	true
land_units_onscreen_name_att_slav_followers_veles	Wayinikay Velesiya	true
land_units_onscreen_name_att_slav_horse_butchers	Mesinikay Konmi	true
land_units_onscreen_name_att_slav_horse_cutters	Rezinikay Konmu	true
land_units_onscreen_name_att_slav_horse_raiders	Suobini Naletchetchiky	true
land_units_onscreen_name_att_slav_hunters	Suobini Loviniky Kvashu	true
land_units_onscreen_name_att_slav_large_shields	Dengye Shcheyty	true
land_units_onscreen_name_att_slav_levy_archers	Braty Lanchiniky	true
land_units_onscreen_name_att_slav_levy_skirmishers	Braty Sudlitsiniky	true
land_units_onscreen_name_att_slav_levy_spearmen	Braty Spisiky	true
land_units_onscreen_name_att_slav_noble_skirmishers	Natchyeli Sudlitsiniky	true
land_units_onscreen_name_att_slav_noble_spearmen	Natchyeli Spisiky	true
land_units_onscreen_name_att_slav_onager	Onager	true
land_units_onscreen_name_att_slav_onager_bastion	Bastion Onager	true
land_units_onscreen_name_att_slav_peruns_axes	Sekyriniky Pyerenya	true
land_units_onscreen_name_att_slav_peruns_champions	Abyudmes Sveta Vita	true
land_units_onscreen_name_att_slav_posion_archers	Lanchiniky Kvashu	true
land_units_onscreen_name_att_slav_posion_hunters	Braty Sudlitsiniky Kvashu	true
land_units_onscreen_name_att_slav_raiders	Suobini Cyepatchy	true
land_units_onscreen_name_att_slav_skirmishers	Suobini Sudlitsiniky	true
land_units_onscreen_name_att_slav_spearmen	Suobini Spisiky	true
land_units_onscreen_name_att_slav_svarogs_raiders	Cyepatchy Svarita	true
land_units_onscreen_name_att_slav_veles_chosen	Piyervi Velesiya	true
land_units_onscreen_name_att_slav_warlords_guard	Pyehte Dyeregi Voivodiny	true
land_units_onscreen_name_att_slav_warriors	Suobini Mechiniky	true
land_units_onscreen_name_fote_slav_chieftain_mounted_guard	Dyeregi Tchelnyhu	true
land_units_onscreen_name_fote_slav_slingers	Cyepatchy Portyi	true
land_units_onscreen_name_fote_slav_warlords_mounted_guard	Dyeregi Voivodinu	false
