key	text	tooltip
#Loc;1;text/db/fote_wh_land_units.loc		
land_units_onscreen_name_att_wh_guardians_of_the_hindu_kush	Indaku-Kushiziga Pashyt	true
land_units_onscreen_name_att_wh_hephthalite_chargers	Asvara Badakshiziga	true
land_units_onscreen_name_att_wh_khingilas_khandas	Khandila Indaku	true
land_units_onscreen_name_att_wh_kindred_of_the_sun	Padyt Xwar	true
land_units_onscreen_name_att_wh_spet_xyon_archers	Bari Dronpadegani Xwansanzi	true
land_units_onscreen_name_att_wh_xionite_spears	Naizagila Xwansanzi	true
land_units_onscreen_name_att_wh_yanda_spearmasters	Barchik Naizagila Kushiziga	true
land_units_onscreen_name_ave_badakhshan_halberds	Yauda Badakshiziga	true
land_units_onscreen_name_ave_hepht_archers	Dronpadegani Xwansanzi	true
land_units_onscreen_name_ave_hepht_archers_kushan	Barchik Dronpadegani Kushiziga	true
land_units_onscreen_name_ave_hepht_cav_guard	Pashyt Xwansanzi	true
land_units_onscreen_name_ave_hepht_chosen_raiders	Aspatakila Warik Xwansanzi	true
land_units_onscreen_name_ave_hepht_elite_rourans	Azatkart Alchoni	true
land_units_onscreen_name_ave_hepht_guardins_of_sun	Pashyt Xwar	true
land_units_onscreen_name_ave_hepht_hindu_bowmen	Dronpadegani Indaku	true
land_units_onscreen_name_ave_hepht_hindu_spearmen	Naizagila Indaku	true
land_units_onscreen_name_ave_hepht_horse_bowmen	Bari Dronpadegani Parsiziga	true
land_units_onscreen_name_ave_hepht_iranian_lancers	Asvara Parsiziga	true
land_units_onscreen_name_ave_hepht_kidarite_elite_lancers	Andat-Mazin Kushiziga	true
land_units_onscreen_name_ave_hepht_kidarite_guard	Bari Dronpadegani Kidarsanzi	true
land_units_onscreen_name_ave_hepht_kidarite_warriors	Asvara Kidarsanzi	true
land_units_onscreen_name_ave_hepht_lancers	Asvara Xwansanzi	true
land_units_onscreen_name_ave_hepht_noble_lancers	Barchik Asvara Kidarsanzi	true
land_units_onscreen_name_ave_hepht_nobles	Azatkart Xwansanzi	true
land_units_onscreen_name_ave_hepht_raiders	Aspatakila Xwansanzi	true
land_units_onscreen_name_ave_hepht_rouran_horse_archers	Bari Dronpadegani Alchoni	true
land_units_onscreen_name_ave_hepht_sogd_cav_skirmishers	Aspatakila Sugudiziga	true
land_units_onscreen_name_ave_hepht_sogd_cavalry	Asvara Sugudiziga	true
land_units_onscreen_name_ave_hepht_sogd_heavy_jav	Arshtila Sugudiziga	true
land_units_onscreen_name_ave_hepht_sogd_hillmen	Tabarila Tokharasanzi	true
land_units_onscreen_name_ave_hepht_sogd_javelinmen	Arshtila Uarsanzi	true
land_units_onscreen_name_ave_hepht_sogd_levy	Naizagila Sugudiziga	true
land_units_onscreen_name_ave_hepht_sogd_skirmishers	Arshtila Tokharasanzi	true
land_units_onscreen_name_ave_hepht_sogd_warriors	Akartila Sugudiziga	true
land_units_onscreen_name_ave_hepht_sogd_warriors_chosen	Warik Akartila Sugudiziga	true
land_units_onscreen_name_ave_hepht_sun_kinsmen	Padyt Xwar	true
land_units_onscreen_name_ave_hepht_warband	Asvara Rinchaku Xwansanzi	true
land_units_onscreen_name_ave_hepht_xionite_chieftain	Sardangt Xwansanzi	true
