key	text	tooltip
#Loc;1;text/db/_land_units.loc		
land_units_onscreen_name_abb_arab_horse_skirmishers	Arab Horse Skirmishers	false
land_units_onscreen_name_abb_arab_javelinmen	Arab Javelinmen	false
land_units_onscreen_name_abb_turkmen_horsemen	Turkoman al-Jaridah	false
land_units_onscreen_name_abid_levy	Abid Levy	false
land_units_onscreen_name_abid_tribesmen	Abid Tribesmen	false
land_units_onscreen_name_abid_warriors	Abid Warriors	false
land_units_onscreen_name_afghan_skirmishers	Afghan Skirmishers	false
land_units_onscreen_name_afghan_mounted_skirmishers	Afghan Mounted Skirmishers	false
land_units_onscreen_name_ahdath_swordsmen	Ahdath Swordsmen	false
land_units_onscreen_name_alani_aldari_druzhina_cavalry	Alani Aldari Druzhina Cavalry	false
land_units_onscreen_name_alani_aldari_horse_archers	Alani Aldari Horse Archers	false
land_units_onscreen_name_alani_aldari_lancers	Alani Aldari Noble Lancers	false
land_units_onscreen_name_albanian_axe_mercenary	Albanian Militia Axemens	false
land_units_onscreen_name_albanian_spear_mercenary	Albanian Militia Spears	false
land_units_onscreen_name_andalusian_berber_cavalry	Andalusian Berber Cavalry	false
land_units_onscreen_name_andalusian_ghazi	Andalusian Ghazi	false
land_units_onscreen_name_andalusian_infantry	Andalusian Infantry	false
land_units_onscreen_name_andalusian_jund_swordsmen	Andalusian Heavy Swordsmen	false
land_units_onscreen_name_andalusian_knights	Andalusian Knights	false
land_units_onscreen_name_arab_cavalry	Arab Cavalry	false
land_units_onscreen_name_arab_desert_camel_archers	Arab Camel Archers	false
land_units_onscreen_name_arab_desert_camel_skirmishers	Arab Camel Skirmishers	false
land_units_onscreen_name_arab_desert_camel_warriors	Arab Camel Warriors	false
land_units_onscreen_name_arab_elite_cavalry	Arab Elite Cavalry	false
land_units_onscreen_name_arab_foot_warrior	Arab Foot Warriors	false
land_units_onscreen_name_arab_guard_cavalry	Arab Guard Cavalry	false
land_units_onscreen_name_arab_gunners	Arab Gunners	false
land_units_onscreen_name_arab_heavy_cavalry	Arab Heavy Cavalry	false
land_units_onscreen_name_arab_heavy_spears	Arab Heavy Spearmen	false
land_units_onscreen_name_arab_horsemen	Arab Horsemen	false
land_units_onscreen_name_arab_infantry	Arab Infantry	false
land_units_onscreen_name_arab_lancers	Arab Lancers	false
land_units_onscreen_name_arab_levy	Arab Levy	false
land_units_onscreen_name_arab_noble_cavalry	Arab Noble Cavalry	false
land_units_onscreen_name_arab_spears	Arab Spearmen	false
land_units_onscreen_name_arab_swords	Arab Swordsmen	false
land_units_onscreen_name_arm_maceman_dziaworner	Maceman Dziaworner	false
land_units_onscreen_name_arm_maceman_serzhantner	Maceman Serzhantner	false
land_units_onscreen_name_arm_swords_bourdjes	Sword Bourdjes	false
land_units_onscreen_name_arm_swords_dziaworner	Sword Dziaworner	false
land_units_onscreen_name_armenian_auxiliary	Armenian Spear Auxiliaries	false
land_units_onscreen_name_armenian_axemens	Armenian Axemen	false
land_units_onscreen_name_armenian_spearmen	Armenian Spearmen	false
land_units_onscreen_name_armenian_swordsmen	Armenian Swordsmen	false
land_units_onscreen_name_aus_burgerwehr_axemen	Burgerwehr Axemen	false
land_units_onscreen_name_aus_burgerwehr_halberdiers	Burgerwehr Halberdiers	false
land_units_onscreen_name_aus_burgerwehr_noble_halberdiers	Burgerwehr Noble Halberdiers	false
land_units_onscreen_name_aus_burgerwehr_swordsmen	Burgerwehr Swordsmen	false
land_units_onscreen_name_aus_dismounted_guardmen	Austrian Dismounted Guardsmen	false
land_units_onscreen_name_aus_dismounted_knights	Austrian Dismounted Knights	false
land_units_onscreen_name_aus_dismounted_ritter	Dismounted Ritter	false
land_units_onscreen_name_aus_foot_maa	Austrian Foot Men At Arms	false
land_units_onscreen_name_aus_fussknechte_swordsmen	Fussknechte Swordsmen	false
